"","Taxonomic_ID","cluster","df$Taxonomic_ID","Superkingdom","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","40552",1,"40552","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Asparagales","Asparagaceae",NA,NA
"2","1903410",1,"1903410","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae",NA,NA
"3","3318",1,"3318","Eukaryota","Viridiplantae","Streptophyta","Pinopsida","Pinales","Pinaceae",NA,NA
"4","24079",1,"24079","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Bignoniaceae",NA,NA
"5","81850",1,"81850","Bacteria",NA,"Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae",NA,NA
"6","942",1,"942","Bacteria",NA,"Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae",NA,NA
"7","543",1,"543","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,NA
"11","641",1,"641","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae",NA,NA
"13","1903411",1,"1903411","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae",NA,NA
"14","267890",1,"267890","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae",NA,NA
"19","4056",1,"4056","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Gentianales","Apocynaceae",NA,NA
"20","10744",1,"10744","Viruses",NA,"Uroviricota","Caudoviricetes","Caudovirales","Podoviridae",NA,NA
"21","83869",1,"83869","Eukaryota","Metazoa","Arthropoda","Insecta","Hemiptera","Margarodidae",NA,NA
"22","468",1,"468","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae",NA,NA
"26","1570301",1,"1570301","Eukaryota","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae",NA,NA
"27","33925",1,"33925","Bacteria",NA,"Tenericutes","Mollicutes","Entomoplasmatales","Entomoplasmataceae",NA,NA
"35","28556",1,"28556","Eukaryota","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae",NA,NA
