"","Taxonomic_ID","cluster","df$Taxonomic_ID","Superkingdom","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"8","4210",3,"4210","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae",NA,NA
"9","481",3,"481","Bacteria",NA,"Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae",NA,NA
"12","69450",3,"69450","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Malvales","Cistaceae",NA,NA
"14","3700",3,"3700","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae",NA,NA
"16","1240483",3,"1240483","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Orbales","Orbaceae",NA,NA
"17","3931",3,"3931","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Myrtales","Myrtaceae",NA,NA
"18","3465",3,"3465","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Ranunculales","Papaveraceae",NA,NA
"20","80864",3,"80864","Bacteria",NA,"Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA
"24","3503",3,"3503","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Fagales","Fagaceae",NA,NA
"25","4479",3,"4479","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae",NA,NA
"26","31957",3,"31957","Bacteria",NA,"Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae",NA,NA
"28","742845",3,"742845","Eukaryota","Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae",NA,NA
"31","1653",3,"1653","Bacteria",NA,"Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae",NA,NA
"33","4144",3,"4144","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Oleaceae",NA,NA
"35","772",3,"772","Bacteria",NA,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Bartonellaceae",NA,NA
"38","188786",3,"188786","Bacteria",NA,"Deinococcus-Thermus","Deinococci","Thermales","Thermaceae",NA,NA
