"","Taxonomic_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Sig","lab","xvals","yvals","Superkingdom","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"773","773",244.464025764712,-1.06341898591188,0.792447065186676,-1.33078503611878,0.183259753056272,0.996903418779242,"FC",NA,-1.06341898591188,0.183259753056272,"Bacteria",NA,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Bartonellaceae","Bartonella",NA
"1301","1301",211.684948014641,-1.08754336051004,0.853323941040396,-1.70462571313045,0.0882642526089482,0.996903418779242,"FC",NA,-1.08754336051004,0.0882642526089482,"Bacteria",NA,"Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"1357","1357",283.331538534207,-1.27205064675619,0.857561461720788,-2.28460052731796,0.0223362619939211,0.996903418779242,"FC",NA,-1.27205064675619,0.0223362619939211,"Bacteria",NA,"Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus",NA
"3678","3678",11.5126367808385,1.60162360103427,0.845237428035927,1.9871697032918,0.0469035940210017,0.996903418779242,"FC",NA,1.60162360103427,0.0469035940210017,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","Ecballium",NA
"3725","3725",43.7415855340283,1.47853761490302,0.782736159789253,1.86232703545747,0.0625570069256586,0.996903418779242,"FC",NA,1.47853761490302,0.0625570069256586,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus",NA
"4564","4564",33.4537686684398,-1.02526271053719,0.858785170902398,-1.44857109539309,0.147457398119338,0.996903418779242,"FC",NA,-1.02526271053719,0.147457398119338,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Triticum",NA
"7106","7106",3.91798380070692,-1.30413393411335,0.863308973681634,-2.1225188448356,0.0337941919048539,0.996903418779242,"FC",NA,-1.30413393411335,0.0337941919048539,"Eukaryota","Metazoa","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera",NA
"7136","7136",394.16165608929,-1.17684965584363,0.863517539219242,-1.50000721054708,0.133612534762374,0.996903418779242,"FC",NA,-1.17684965584363,0.133612534762374,"Eukaryota","Metazoa","Arthropoda","Insecta","Lepidoptera","Pyralidae","Galleria",NA
"23166","23166",3.8219300050647,1.04846845834212,0.87193203930093,1.36642940514119,0.171804224574375,0.996903418779242,"FC",NA,1.04846845834212,0.171804224574375,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Eriobotrya",NA
"32263","32263",4.45144100114631,1.22258557139355,0.863597065689074,1.42977212813995,0.152782431027511,0.996903418779242,"FC",NA,1.22258557139355,0.152782431027511,"Eukaryota","Metazoa","Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Tetranychus",NA
"53335","53335",1060.37705849655,-1.05333947005812,0.778384378463008,-1.41223949298475,0.157879455614379,0.996903418779242,"FC",NA,-1.05333947005812,0.157879455614379,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea",NA
"82986","82986",460.093774524263,-1.06202509403637,0.788945647960915,-1.37477983009027,0.169199713108154,0.996903418779242,"FC",NA,-1.06202509403637,0.169199713108154,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Tatumella",NA
"84565","84565",9778.77319298676,-1.32567877842698,0.792132075106745,-2.1610630471201,0.0306904695686171,0.996903418779242,"FC",NA,-1.32567877842698,0.0306904695686171,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Sodalis",NA
"1285593","1285593",6.10443043349014,-1.25767689332832,0.870271464718314,-1.51330757541249,0.130201549350232,0.996903418779242,"FC",NA,-1.25767689332832,0.130201549350232,"Viruses",NA,NA,NA,NA,"Hytrosaviridae","Muscavirus",NA
"1330547","1330547",18.0089782917461,-1.09870400573884,0.861756608077419,-1.30567386598193,0.191663488972373,0.996903418779242,"FC",NA,-1.09870400573884,0.191663488972373,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Kosakonia",NA
"475","475",20.7291161901714,-1.0911839863522,0.838635979647906,-1.62082142270301,0.105055942701667,0.996903418779242,"FC",NA,-1.0911839863522,0.105055942701667,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella",NA
"1827","1827",5.61906436020683,-1.29120561819255,0.871544110812535,-1.74959619420127,0.0801880169143543,0.996903418779242,"FC",NA,-1.29120561819255,0.0801880169143543,"Bacteria",NA,"Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus",NA
"4520","4520",4.07505222529173,1.32691614573761,0.872187010786874,1.64423411337309,0.100127852981696,0.996903418779242,"FC",NA,1.32691614573761,0.100127852981696,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Lolium",NA
"70774","70774",16.1883439853635,1.16478786497975,0.864291413886891,0.714663737146141,0.474816850225214,0.996903418779242,"FC",NA,1.16478786497975,0.474816850225214,"Bacteria",NA,"Proteobacteria","Hydrogenophilalia","Hydrogenophilales","Hydrogenophilaceae","Hydrogenophilus",NA
"2747","2747",7.35363661834343,-1.67080765516598,0.871951690226316,-1.957621167694,0.0502744816425552,0.996903418779242,"FC",NA,-1.67080765516598,0.0502744816425552,"Bacteria",NA,"Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium",NA
"7601","7601",1.37893964462411,-1.00198189240398,0.831585256724871,-1.17112770806695,0.241547447925273,0.996903418779242,"FC",NA,-1.00198189240398,0.241547447925273,"Eukaryota","Metazoa","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Asterias",NA
"1535326","1535326",1.66858466949946,-1.13251165462301,0.845879641540229,-1.39762769650204,0.162224896783311,0.996903418779242,"FC",NA,-1.13251165462301,0.162224896783311,"Eukaryota","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Candida",NA
"144030","144030",2.25659783830553,-1.05121587436928,0.83577597757829,-1.41200848504895,0.157947462817883,0.996903418779242,"FC",NA,-1.05121587436928,0.157947462817883,"Eukaryota","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Pogonomyrmex",NA
"1330546","1330546",1.65165744335205,-1.29450603183079,0.820563816933992,-1.65698251721314,0.097523009747399,0.996903418779242,"FC",NA,-1.29450603183079,0.097523009747399,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pluralibacter",NA
