Software,Species,Observed_Abundance,Expected_Abundance,Taxonomic_Domain
DIAMOND,Apis mellifera filamentous virus,1.698,1.545,Viruses
DIAMOND,Apis mellifera,0.26,11.682,Eukaryota (others)
DIAMOND,Frischella perrara,10.147,5.575,Bacteria
DIAMOND,Gilliamella apicola,0.296,0.975,Bacteria
DIAMOND,Homo sapiens,0.051,3.401,Eukaryota (others)
DIAMOND,Lactobacillus kunkeei,5.089,16.729,Bacteria
DIAMOND,Nosema ceranae,1.433,2.984,Eukaryota (fungi)
DIAMOND,Paenibacillus apiarius,13.504,11.312,Bacteria
DIAMOND,Snodgrassella alvi,3.63,2.089,Bacteria
DIAMOND,Staphylococcus epidermidis,0.244,5.311,Bacteria
DIAMOND,Varroa destructor,0.273,38.397,Eukaryota (others)
