Software,Species,Observed_Abundance,Expected_Abundance,Taxonomic_Domain
CCMetagen,Apis mellifera filamentous virus,3,0.675,Viruses
CCMetagen,Apis mellifera,0.17,5.105,Eukaryota (others)
CCMetagen,Brassica cretica,0.001,9.218,Viridiplantae
CCMetagen,Chlamydomonas reinhardtii,1,5.435,Viridiplantae
CCMetagen,Citrus sinensis,0.132,1.822,Viridiplantae
CCMetagen,Frischella perrara,13,2.436,Bacteria
CCMetagen,Gilliamella apicola,0.02,0.426,Bacteria
CCMetagen,Homo sapiens,0.05,1.486,Eukaryota (others)
CCMetagen,Lactobacillus kunkeei,38,7.31,Bacteria
CCMetagen,Malus domestica,12.06,15.961,Viridiplantae
CCMetagen,Medicago truncatula,0.243,3.856,Viridiplantae
CCMetagen,Nosema ceranae,1.2,1.304,Eukaryota (fungi)
CCMetagen,Oxalis drummondii,0,0.049,Viridiplantae
CCMetagen,Paenibacillus apiarius,0.01,4.943,Bacteria
CCMetagen,Papaver somniferum,0.006,3.191,Viridiplantae
CCMetagen,Petunia x hybrida,0.001,0.008,Viridiplantae
CCMetagen,Prunus persica,3.002,5.138,Viridiplantae
CCMetagen,Pyrus x bretschneideri ,0.48,2.369,Viridiplantae
CCMetagen,Snodgrassella alvi,5,0.913,Bacteria
CCMetagen,Staphylococcus epidermidis ,12,2.321,Bacteria
CCMetagen,Theobroma cacao,0.052,4.42,Viridiplantae
CCMetagen,Varroa destructor,0.27,16.779,Eukaryota (others)
CCMetagen,Zea mays,4.206,4.834,Viridiplantae
