Software,Genus,Observed_Abundance,Expected_Abundance,Taxonomic_Domain
CCMetagen,Brassica,5.110,16.372,Viridiplantae
CCMetagen,Chlamydomonas,4.000,9.654,Viridiplantae
CCMetagen,Citrus,0.680,3.237,Viridiplantae
CCMetagen,Malus,47.241,28.35,Viridiplantae
CCMetagen,Medicago,0.710,6.85,Viridiplantae
CCMetagen,Oxalis,0.600,0.087,Viridiplantae
CCMetagen,Papaver,0.017,5.668,Viridiplantae
CCMetagen,Petunia,0.003,0.014,Viridiplantae
CCMetagen,Prunus,10.946,9.125,Viridiplantae
CCMetagen,Pyrus,12.304,4.207,Viridiplantae
CCMetagen,Theobroma,0.209,7.851,Viridiplantae
CCMetagen,Zea,14.800,8.585,Viridiplantae
