Software,Species,Observed_Abundance,Expected_Abundance,Taxonomic_Domain
kraken2,Brassica cretica,0.001,16.372,Viridiplantae
kraken2,Chlamydomonas reinhardtii,5.094,9.654,Viridiplantae
kraken2,Citrus sinensis,0.622,3.237,Viridiplantae
kraken2,Malus domestica,12.701,28.35,Viridiplantae
kraken2,Medicago truncatula,6.525,6.85,Viridiplantae
kraken2,Oxalis drummondii,0.03,0.087,Viridiplantae
kraken2,Papaver somniferum,4.431,5.668,Viridiplantae
kraken2,Petunia x hybrida,0.005,0.014,Viridiplantae
kraken2,Prunus persica,1.688,9.125,Viridiplantae
kraken2,Pyrus x bretschneideri,1.822,4.207,Viridiplantae
kraken2,Theobroma cacao,9.858,7.851,Viridiplantae
kraken2,Zea mays,8.799,8.585,Viridiplantae
