Software,Species,Observed_Abundance,Expected_Abundance,Taxonomic_Domain
minimap2,Apis mellifera filamentous virus,0,0.675,Viruses
minimap2,Apis mellifera,1.265,5.105,Eukaryota (others)
minimap2,Brassica cretica,0,9.218,Viridiplantae
minimap2,Chlamydomonas reinhardtii,3.769,5.435,Viridiplantae
minimap2,Citrus sinensis,0,1.822,Viridiplantae
minimap2,Frischella perrara,0,2.436,Bacteria
minimap2,Gilliamella apicola,0,0.426,Bacteria
minimap2,Homo sapiens,10.826,1.486,Eukaryota (others)
minimap2,Lactobacillus kunkeei,0,7.31,Bacteria
minimap2,Malus domestica,13.234,15.961,Viridiplantae
minimap2,Medicago truncatula,6.858,3.856,Viridiplantae
minimap2,Nosema ceranae,0,1.304,Eukaryota (fungi)
minimap2,Oxalis drummondii,0,0.049,Viridiplantae
minimap2,Paenibacillus apiarius,0,4.943,Bacteria
minimap2,Papaver somniferum,2.214,3.191,Viridiplantae
minimap2,Petunia x hybrida,0,0.008,Viridiplantae
minimap2,Prunus persica,1.994,5.138,Viridiplantae
minimap2,Pyrus x bretschneideri ,3.46,2.369,Viridiplantae
minimap2,Snodgrassella alvi,0,0.913,Bacteria
minimap2,Staphylococcus epidermidis ,0,2.321,Bacteria
minimap2,Theobroma cacao,0,4.42,Viridiplantae
minimap2,Varroa destructor,1.749,16.779,Eukaryota (others)
minimap2,Zea mays,17.017,4.834,Viridiplantae
