Software,Species,Observed_Abundance,Expected_Abundance,Taxonomic_Domain
DIAMOND,Brassica cretica,1.649,16.372,Viridiplantae
DIAMOND,Chlamydomonas reinhardtii,6.119,9.654,Viridiplantae
DIAMOND,Citrus sinensis,0.54,3.237,Viridiplantae
DIAMOND,Malus domestica,6.889,28.35,Viridiplantae
DIAMOND,Medicago truncatula,5.021,6.85,Viridiplantae
DIAMOND,Oxalis drummondii,0,0.087,Viridiplantae
DIAMOND,Papaver somniferum,1.964,5.668,Viridiplantae
DIAMOND,Petunia x hybrida,0,0.014,Viridiplantae
DIAMOND,Prunus persica,2.493,9.125,Viridiplantae
DIAMOND,Pyrus x bretschneideri,1.551,4.207,Viridiplantae
DIAMOND,Theobroma cacao,3.52,7.851,Viridiplantae
DIAMOND,Zea mays,6.54,8.585,Viridiplantae
