"","Taxonomic_ID","cluster","df$Taxonomic_ID","Superkingdom","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","4685",1,"4685","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Asparagales","Asparagaceae","Asparagus",NA
"2","547",1,"547","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter",NA
"5","1243",1,"1243","Bacteria",NA,"Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc",NA
"6","544",1,"544","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter",NA
"8","49800",1,"49800","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Cercis",NA
"9","662",1,"662","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio",NA
"10","570",1,"570","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella",NA
"12","22",1,"22","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella",NA
"14","469",1,"469","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA
"16","5579",1,"5579","Eukaryota","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium",NA
"17","5598",1,"5598","Eukaryota","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",NA
"31","286",1,"286","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"39","53335",1,"53335","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea",NA
