"","Taxonomic_ID","cluster","df$Taxonomic_ID","Superkingdom","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"9","4210",3,"4210","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae",NA,NA
"10","69450",3,"69450","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Malvales","Cistaceae",NA,NA
"12","481",3,"481","Bacteria",NA,"Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae",NA,NA
"15","3700",3,"3700","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae",NA,NA
"16","80864",3,"80864","Bacteria",NA,"Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA
"17","1240483",3,"1240483","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Orbales","Orbaceae",NA,NA
"18","31957",3,"31957","Bacteria",NA,"Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae",NA,NA
"24","4479",3,"4479","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae",NA,NA
"29","16714",3,"16714","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Fagales","Juglandaceae",NA,NA
"30","1570339",3,"1570339","Bacteria",NA,"Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae",NA,NA
"31","742845",3,"742845","Eukaryota","Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae",NA,NA
"33","31977",3,"31977","Bacteria",NA,"Firmicutes","Negativicutes","Veillonellales","Veillonellaceae",NA,NA
"34","3503",3,"3503","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Fagales","Fagaceae",NA,NA
