"","Taxonomic_ID","cluster","df$Taxonomic_ID","Superkingdom","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","40552",1,"40552","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Asparagales","Asparagaceae",NA,NA
"2","24079",1,"24079","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Bignoniaceae",NA,NA
"3","1903410",1,"1903410","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae",NA,NA
"4","3318",1,"3318","Eukaryota","Viridiplantae","Streptophyta","Pinopsida","Pinales","Pinaceae",NA,NA
"6","543",1,"543","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,NA
"7","641",1,"641","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae",NA,NA
"10","81850",1,"81850","Bacteria",NA,"Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae",NA,NA
"11","267890",1,"267890","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae",NA,NA
"13","1903411",1,"1903411","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae",NA,NA
"15","1570301",1,"1570301","Eukaryota","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae",NA,NA
"19","28556",1,"28556","Eukaryota","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae",NA,NA
"21","468",1,"468","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae",NA,NA
"30","942",1,"942","Bacteria",NA,"Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae",NA,NA
"36","3650",1,"3650","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae",NA,NA
"37","135621",1,"135621","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae",NA,NA
