"","Taxonomic_ID","cluster","df$Taxonomic_ID","Superkingdom","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","4686",1,"4686","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Asparagales","Asparagaceae","Asparagus","Asparagus officinalis"
"2","1914861",1,"1914861","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter sp. SA187"
"3","69218",1,"69218","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter cancerogenus"
"4","63612",1,"63612","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Sodalis","Sodalis glossinidius"
"5","1239307",1,"1239307","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Sodalis","Sodalis praecaptivus"
"6","3352",1,"3352","Eukaryota","Viridiplantae","Streptophyta","Pinopsida","Pinales","Pinaceae","Pinus","Pinus taeda"
"7","47885",1,"47885","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas oryzihabitans"
"8","33968",1,"33968","Bacteria",NA,"Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc","Leuconostoc pseudomesenteroides"
"9","1639133",1,"1639133","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter portucalensis"
"10","140035",1,"140035","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Bignoniaceae","Tecomaria","Tecomaria capensis"
"11","49801",1,"49801","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Cercis","Cercis canadensis"
"12","20340",1,"20340","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Ceratonia","Ceratonia siliqua"
"13","138074",1,"138074","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia","Serratia symbiotica"
"14","48296",1,"48296","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter pittii"
"15","71647",1,"71647","Eukaryota","Viridiplantae","Streptophyta","Pinopsida","Pinales","Pinaceae","Pinus","Pinus pinaster"
"16","470",1,"470","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter baumannii"
"19","82987",1,"82987","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Tatumella","Tatumella ptyseos"
"22","24962",1,"24962","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Castanospermum","Castanospermum australe"
"23","58860",1,"58860","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Tamarindus","Tamarindus indica"
"24","571",1,"571","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella oxytoca"
"25","373126",1,"373126","Viruses",NA,"Uroviricota","Caudoviricetes","Caudovirales","Podoviridae",NA,"Sodalis phage phiSG1"
"26","40216",1,"40216","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter radioresistens"
"30","371960",1,"371960","Eukaryota","Metazoa","Arthropoda","Insecta","Hemiptera","Margarodidae","Marchalina","Marchalina hellenica"
"31","548",1,"548","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella aerogenes"
"33","321550",1,"321550","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Libidibia","Libidibia coriaria"
