"","Taxonomic_ID"
"1","GO:0004736: [MF] pyruvate carboxylase activity"
"2","GO:0006525: [BP] arginine metabolic process"
"3","GO:0007165: [BP] signal transduction"
"4","GO:0019350: [BP] teichoic acid biosynthetic process"
"5","GO:0042586: [MF] peptide deformylase activity"
"6","GO:0043772: [MF] acyl-phosphate glycerol-3-phosphate acyltransferase activity"
"7","GO:0047348: [MF] glycerol-3-phosphate cytidylyltransferase activity"
"8","GO:0003844: [MF] 1,4-alpha-glucan branching enzyme activity"
"9","GO:0004555: [MF] alpha,alpha-trehalase activity"
"10","GO:0005618: [CC] cell wall"
"11","GO:0005978: [BP] glycogen biosynthetic process"
"12","GO:0008804: [MF] carbamate kinase activity"
"13","GO:0009374: [MF] biotin binding"
"14","GO:1990663: [MF] dihydroorotate dehydrogenase (fumarate) activity"
"15","GO:0004047: [MF] aminomethyltransferase activity"
"16","GO:0030244: [BP] cellulose biosynthetic process"
