"","DirectSM_H4","DirectSM_H5","DirectSM_H6","DirectSM_H7","SM_H4","SM_H5","SM_H6","SM_H7"
"34",0,0,0,0,0,0,0.598614952599404,0
"238",1.26584443978047,0,0,0,0,0,0,0
"247",1.26584443978047,0,0,0,0,0,0.598614952599404,0
"254",3.79753331934142,1.87475112022367,0,0,4.08869078707359,0,0,0
"287",3.79753331934142,7.49900448089469,1.19683721469967,0,4.59977713545778,0,0,5.49077573391586
"294",1.26584443978047,0.937375560111837,0,1.72654917895514,0.511086348384198,0,0,5.49077573391586
"303",2.53168887956094,0.937375560111837,2.39367442939934,1.72654917895514,2.04434539353679,0,0.598614952599404,0
"316",1.26584443978047,2.81212668033551,0.598418607349836,0,3.06651809030519,0,0,0
"317",125.318599538267,2.81212668033551,24.5351629013433,1.72654917895514,140.548745805655,2.75718154521641,78.4185587905219,21.9631029356634
"337",1.26584443978047,0,0,0,0,0,0,0
"346",0,0,0,0,0,0,0.598614952599404,0
"438",1.26584443978047,0,0,0,0,0,0,0
"442",1.26584443978047,0,0,0,0.511086348384198,0,0,0
"470",89.8749552244135,2.81212668033551,1.79525582204951,1.72654917895514,129.304846141202,0,2.99307476299702,0
"471",6.32922219890236,0.937375560111837,0,0,15.3325904515259,0.551436309043281,0,0
"546",1.26584443978047,0,0,0,3.06651809030519,0,0.598614952599404,0
"548",31.6461109945118,0,1.19683721469967,0,24.0210583740573,0,0.598614952599404,0
"549",1103.81635148857,72.1779181286114,129.856837794914,58.7026720844748,1095.25804458734,128.484660007085,460.933513501541,230.612580824466
"550",3.79753331934142,0,0.598418607349836,1.72654917895514,3.57760443868939,1.10287261808656,0,0
"553",135.445355056511,1.87475112022367,201.667070676895,39.7106311159682,127.260500747665,0,635.729079660567,54.9077573391586
"562",24.051044355829,0.937375560111837,8.97627911024754,3.45309835791028,21.9767129805205,2.75718154521641,19.1556784831809,16.4723272017476
"566",6.32922219890236,0,0,0,2.04434539353679,0,0,5.49077573391586
"569",1.26584443978047,2.81212668033551,0,1.72654917895514,3.57760443868939,0,3.59168971559642,0
