"","Taxonomic_ID","DirectSM_H4","DirectSM_H5","DirectSM_H6","DirectSM_H7","SM_H4","SM_H5","SM_H6","SM_H7","Superkingdom","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","22",106,1,1,5,72,0,4,0,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella",NA
"2","32",1,0,0,0,0,0,1,0,"Bacteria",NA,"Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcaceae","Myxococcus",NA
"3","68",3,0,0,2,1,0,0,0,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter",NA
"4","75",1,4,0,2,1,1,0,4,"Bacteria",NA,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter",NA
"5","99",1,0,0,0,0,0,0,0,"Bacteria",NA,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Ancylobacter",NA
"6","107",1,0,0,2,8,0,0,0,"Bacteria",NA,"Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma",NA
"7","133",1,0,0,0,0,0,0,0,"Bacteria",NA,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylocystaceae","Methylocystis",NA
"8","191",1,0,0,0,0,0,0,0,"Bacteria",NA,"Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Azospirillum",NA
"9","286",3426,228,609,233,2983,168,2288,446,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"10","338",10,4,105,11,5,4,206,19,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonas",NA
"11","407",95,9,5,0,29,0,2,41,"Bacteria",NA,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium",NA
"12","434",6,71,18,10,7,24,206,60,"Bacteria",NA,"Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter",NA
"13","441",4,0,0,0,3,0,10,0,"Bacteria",NA,"Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Gluconobacter",NA
"14","469",2469,132,246,88,5441,40,668,397,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA
"15","482",1,63,5,0,1,30,1,37,"Bacteria",NA,"Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria",NA
"16","517",1,0,0,0,0,1,0,0,"Bacteria",NA,"Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Bordetella",NA
"17","544",653,0,3,2,528,5,8,4,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter",NA
"18","547",3603,5,25,18,4000,12,68,30,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter",NA
"19","551",138,48,306,80,200,40,724,90,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Erwinia",NA
"20","561",28,1,11,5,43,8,26,11,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia",NA
"21","568",1,2,0,2,6,0,5,0,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Hafniaceae","Hafnia",NA
"22","570",419,6,27,8,586,18,39,15,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella",NA
"23","581",21,43,7,8,25,10,34,0,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Morganella",NA
"24","586",18,0,2,0,31,0,2,0,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Providencia",NA
"25","590",16,32,5,10,26,2,30,0,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella",NA
"26","613",34952,185,334,441,40484,13174,749,461,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia",NA
"27","629",4,1,5,2,21,13,6,0,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Yersinia",NA
"28","635",3,0,0,0,3,0,0,0,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Hafniaceae","Edwardsiella",NA
"29","637",338,35,306,29,1171,64,249,19,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Arsenophonus",NA
"30","642",1,7,7,2,9,2,14,4,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas",NA
"31","662",88,1,3,0,99,0,2,0,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio",NA
"32","724",1,24,4,2,0,6,2,11,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus",NA
"33","773",21,52,36,121,36,1449,62,180,"Bacteria",NA,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Bartonellaceae","Bartonella",NA
"34","780",1,0,0,0,5,1,2,0,"Bacteria",NA,"Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Rickettsia",NA
"35","848",1,13,1,0,3,2,1,7,"Bacteria",NA,"Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium",NA
"36","906",1,0,0,0,2,0,1,0,"Bacteria",NA,"Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Megasphaera",NA
"37","953",280,0,1,0,805,21,0,0,"Bacteria",NA,"Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Wolbachia",NA
"38","963",4,4,31,8,1,0,66,56,"Bacteria",NA,"Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum",NA
"39","1060",1,0,0,0,0,0,0,0,"Bacteria",NA,"Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter",NA
"40","1158",1,0,0,0,0,0,0,0,"Bacteria",NA,"Cyanobacteria",NA,"Oscillatoriales","Oscillatoriaceae","Oscillatoria",NA
"41","1243",1651,11,65,56,1583,8,93,79,"Bacteria",NA,"Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc",NA
"42","1253",3,0,0,2,4,0,7,0,"Bacteria",NA,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Pediococcus",NA
"43","1279",38,438,156,216,19,121,36,2308,"Bacteria",NA,"Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",NA
"44","1298",1,8,0,0,0,0,0,0,"Bacteria",NA,"Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus",NA
"45","1301",1,369,38,16,3,160,3,1101,"Bacteria",NA,"Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"46","1350",70,5,5,3,33,14,10,11,"Bacteria",NA,"Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",NA
"47","1357",29,90,8,8,27,64,21,2019,"Bacteria",NA,"Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus",NA
"48","1372",3,0,0,2,0,0,0,0,"Bacteria",NA,"Firmicutes","Bacilli","Bacillales","Planococcaceae","Planococcus",NA
"49","1375",1,4,0,2,1,2,0,0,"Bacteria",NA,"Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus",NA
"50","1386",5,49,193,5,2,6,1944,0,"Bacteria",NA,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"51","1578",33106,27391,32616,42105,106959,47789,72478,5721,"Bacteria",NA,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"52","1663",3,0,1,0,2,0,0,0,"Bacteria",NA,"Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter",NA
"53","1678",16,22,13,54,2,36,14,22,"Bacteria",NA,"Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",NA
"54","1696",4,5,0,2,1,0,1,0,"Bacteria",NA,"Actinobacteria","Actinobacteria","Micrococcales","Brevibacteriaceae","Brevibacterium",NA
"55","1716",1,106,15,8,3,24,2,75,"Bacteria",NA,"Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium",NA
"56","1763",1,0,1,0,1,1,0,0,"Bacteria",NA,"Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",NA
"57","1839",1,0,0,0,1,1,0,0,"Bacteria",NA,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides",NA
"58","1865",4,0,0,0,1,0,0,0,"Bacteria",NA,"Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes",NA
"59","1883",8,2,3,26,4,4,7,34,"Bacteria",NA,"Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA
"60","1988",1,0,1,0,0,0,0,0,"Bacteria",NA,"Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinomadura",NA
"61","2034",20,0,15,3,8,4,20,4,"Bacteria",NA,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Curtobacterium",NA
"62","2132",248,82,807,478,1139,524,479,71,"Bacteria",NA,"Tenericutes","Mollicutes","Entomoplasmatales","Spiroplasmataceae","Spiroplasma",NA
"63","2184",1,0,0,0,0,0,0,0,"Archaea",NA,"Euryarchaeota","Methanococci","Methanococcales","Methanococcaceae","Methanococcus",NA
"64","2706",50,135,91,49,35,57,86,26,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Sapindales","Rutaceae","Citrus",NA
"65","2737",3,0,0,0,0,1,0,0,"Bacteria",NA,"Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Vagococcus",NA
"66","2745",4,1,0,2,4,0,0,0,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas",NA
"67","2768",1,0,0,0,0,0,0,0,"Eukaryota",NA,"Rhodophyta","Florideophyceae","Gigartinales","Gigartinaceae","Chondrus",NA
"68","2849",1,0,0,0,0,1,0,0,"Eukaryota",NA,"Bacillariophyta","Bacillariophyceae","Naviculales","Phaeodactylaceae","Phaeodactylum",NA
"69","3066",1,0,1,0,0,0,1,0,"Eukaryota","Viridiplantae","Chlorophyta","Chlorophyceae","Chlamydomonadales","Volvocaceae","Volvox",NA
"70","3310",3,0,0,0,0,0,0,0,"Eukaryota","Viridiplantae","Streptophyta","Ginkgoopsida","Ginkgoales","Ginkgoaceae","Ginkgo",NA
"71","3328",31,0,1,2,7,0,0,4,"Eukaryota","Viridiplantae","Streptophyta","Pinopsida","Pinales","Pinaceae","Picea",NA
"72","3337",75378,168,115,95,10341,384,40,142,"Eukaryota","Viridiplantae","Streptophyta","Pinopsida","Pinales","Pinaceae","Pinus",NA
"73","3387",21,0,0,2,15,0,9,0,"Eukaryota","Viridiplantae","Streptophyta","Gnetopsida","Ephedrales","Ephedraceae","Ephedra",NA
"74","3413",4,1,23,2,4,2,45,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Magnoliales","Magnoliaceae","Liriodendron",NA
"75","3468",21,1374,483,6669,4,7407,209,1072,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Ranunculales","Papaveraceae","Papaver",NA
"76","3497",36,21,51,36,29,39,15,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Moraceae","Morus",NA
"77","3504",3,7,11,5,2,11,11,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Fagales","Betulaceae","Betula",NA
"78","3511",9,93,185,61,3,56,160,11,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Fagales","Fagaceae","Quercus",NA
"79","3543",1,0,3,5,2,0,1,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Aizoaceae","Mesembryanthemum",NA
"80","3573",5,1,0,0,2,3,0,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Silene",NA
"81","3603",128,13,245,568,72,13,530,56,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Vitales","Vitaceae","Vitis",NA
"82","3633",4,3,7,13,5,19,12,30,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Malvales","Malvaceae","Gossypium",NA
"83","3648",3,0,0,0,0,1,1,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Brassicales","Caricaceae","Carica",NA
"84","3651",1,0,0,0,1,0,0,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","Bryonia",NA
