"","Domain","Taxonomic_ID","family"
"1","Bacteria",942,"Anaplasmataceae"
"2","Bacteria",1903410,"Pectobacteriaceae"
"3","Viridiplantae",40552,"Asparagaceae"
"4","Viridiplantae",3318,"Pinaceae"
"5","Viridiplantae",24079,"Bignoniaceae"
"6","Bacteria",1903411,"Yersiniaceae"
"7","Bacteria",641,"Vibrionaceae"
"8","Bacteria",267890,"Shewanellaceae"
"9","Bacteria",543,"Enterobacteriaceae"
"10","Bacteria",81850,"Leuconostocaceae"
"11","Bacteria",468,"Moraxellaceae"
"12","Eukaryota",28556,"Pleosporaceae"
"13","Bacteria",81852,"Enterococcaceae"
"14","Eukaryota",1570301,"Saccotheciaceae"
"15","Viridiplantae",3650,"Cucurbitaceae"
"16","Bacteria",135621,"Pseudomonadaceae"
"17","Bacteria",49546,"Flavobacteriaceae"
"18","Bacteria",188786,"Thermaceae"
"19","Viridiplantae",4210,"Asteraceae"
"20","Bacteria",1240483,"Orbaceae"
"21","Bacteria",75682,"Oxalobacteraceae"
"22","Viridiplantae",4136,"Lamiaceae"
"23","Viridiplantae",3700,"Brassicaceae"
"24","Bacteria",481,"Neisseriaceae"
"25","Viridiplantae",3602,"Vitaceae"
"26","Bacteria",772,"Bartonellaceae"
"27","Bacteria",32033,"Xanthomonadaceae"
"28","Viridiplantae",3401,"Magnoliaceae"
"29","Bacteria",31957,"Propionibacteriaceae"
"30","Eukaryota",742845,"Malasseziaceae"
"31","Viridiplantae",4144,"Oleaceae"
"32","Bacteria",80864,"Comamonadaceae"
"33","Viridiplantae",3503,"Fagaceae"
"34","Bacteria",90964,"Staphylococcaceae"
"35","Viridiplantae",4479,"Poaceae"
"36","Viridiplantae",3928,"Lythraceae"
"37","Viridiplantae",69450,"Cistaceae"
"38","Eukaryota",7135,"Pyralidae"
"39","Bacteria",186817,"Bacillaceae"
"40","Viridiplantae",3931,"Myrtaceae"
"41","Viridiplantae",3465,"Papaveraceae"
