"","Domain","Taxonomic_ID","family"
"1","Bacteria",942,"Anaplasmataceae"
"2","Bacteria",1903410,"Pectobacteriaceae"
"3","Viridiplantae",40552,"Asparagaceae"
"4","Viridiplantae",3318,"Pinaceae"
"5","Viridiplantae",24079,"Bignoniaceae"
"6","Bacteria",1903411,"Yersiniaceae"
"7","Bacteria",641,"Vibrionaceae"
"8","Bacteria",267890,"Shewanellaceae"
"9","Bacteria",543,"Enterobacteriaceae"
"10","Bacteria",81850,"Leuconostocaceae"
"11","Bacteria",468,"Moraxellaceae"
"12","Eukaryota",28556,"Pleosporaceae"
"13","Eukaryota",1570301,"Saccotheciaceae"
"14","Viridiplantae",3650,"Cucurbitaceae"
"15","Bacteria",135621,"Pseudomonadaceae"
"16","Bacteria",188786,"Thermaceae"
"17","Viridiplantae",4210,"Asteraceae"
"18","Bacteria",1240483,"Orbaceae"
"19","Bacteria",75682,"Oxalobacteraceae"
"20","Viridiplantae",4136,"Lamiaceae"
"21","Viridiplantae",3700,"Brassicaceae"
"22","Bacteria",481,"Neisseriaceae"
"23","Viridiplantae",3602,"Vitaceae"
"24","Bacteria",772,"Bartonellaceae"
"25","Bacteria",32033,"Xanthomonadaceae"
"26","Bacteria",31957,"Propionibacteriaceae"
"27","Bacteria",1653,"Corynebacteriaceae"
"28","Eukaryota",742845,"Malasseziaceae"
"29","Viridiplantae",4144,"Oleaceae"
"30","Bacteria",80864,"Comamonadaceae"
"31","Eukaryota",28843,"Diphyllobothriidae"
"32","Viridiplantae",3503,"Fagaceae"
"33","Viridiplantae",4479,"Poaceae"
"34","Viridiplantae",3928,"Lythraceae"
"35","Viridiplantae",69450,"Cistaceae"
"36","Eukaryota",7135,"Pyralidae"
"37","Viridiplantae",3931,"Myrtaceae"
"38","Viridiplantae",3465,"Papaveraceae"
