"","Domain","Taxonomic_ID","genus"
"1","Bacteria",84565,"Sodalis"
"2","Bacteria",953,"Wolbachia"
"3","Viridiplantae",4685,"Asparagus"
"4","Viridiplantae",3337,"Pinus"
"5","Bacteria",544,"Citrobacter"
"6","Viridiplantae",49800,"Cercis"
"7","Bacteria",547,"Enterobacter"
"8","Bacteria",613,"Serratia"
"9","Bacteria",662,"Vibrio"
"10","Bacteria",22,"Shewanella"
"11","Viridiplantae",58859,"Tamarindus"
"12","Bacteria",570,"Klebsiella"
"13","Bacteria",1243,"Leuconostoc"
"14","Bacteria",469,"Acinetobacter"
"15","Viridiplantae",4719,"Phoenix"
"16","Eukaryota",5598,"Alternaria"
"17","Bacteria",1350,"Enterococcus"
"18","Eukaryota",5579,"Aureobasidium"
"19","Bacteria",286,"Pseudomonas"
"20","Bacteria",53335,"Pantoea"
"21","Bacteria",65551,"Meiothermus"
"22","Bacteria",40323,"Stenotrophomonas"
"23","Bacteria",1335631,"Frischella"
"24","Bacteria",1193503,"Gilliamella"
"25","Bacteria",1193515,"Snodgrassella"
"26","Viridiplantae",3603,"Vitis"
"27","Bacteria",434,"Acetobacter"
"28","Viridiplantae",3725,"Raphanus"
"29","Bacteria",1912216,"Cutibacterium"
"30","Eukaryota",55193,"Malassezia"
"31","Bacteria",338,"Xanthomonas"
"32","Viridiplantae",4145,"Olea"
"33","Viridiplantae",3511,"Quercus"
"34","Viridiplantae",3898,"Trifolium"
"35","Viridiplantae",4575,"Zea"
"36","Eukaryota",7136,"Galleria"
"37","Viridiplantae",3877,"Medicago"
"38","Viridiplantae",22662,"Punica"
"39","Bacteria",1301,"Streptococcus"
"40","Viridiplantae",3932,"Eucalyptus"
"41","Viridiplantae",3468,"Papaver"
