"","Domain","Taxonomic_ID","genus"
"  84565","Bacteria",84565,"Sodalis"
"    953","Bacteria",953,"Wolbachia"
" 140034","Viridiplantae",140034,"Tecomaria"
"   4685","Viridiplantae",4685,"Asparagus"
"   3337","Viridiplantae",3337,"Pinus"
"  20339","Viridiplantae",20339,"Ceratonia"
"    544","Bacteria",544,"Citrobacter"
" 126747","Viridiplantae",126747,"Cynanchum"
" 371959","Eukaryota",371959,"Marchalina"
"  49800","Viridiplantae",49800,"Cercis"
"    547","Bacteria",547,"Enterobacter"
"    613","Bacteria",613,"Serratia"
"  24961","Viridiplantae",24961,"Castanospermum"
"    662","Bacteria",662,"Vibrio"
"  53922","Viridiplantae",53922,"Senna"
"  58859","Viridiplantae",58859,"Tamarindus"
"     22","Bacteria",22,"Shewanella"
"    570","Bacteria",570,"Klebsiella"
" 553462","Viridiplantae",553462,"Libidibia"
"   1243","Bacteria",1243,"Leuconostoc"
"    586","Bacteria",586,"Providencia"
" 121480","Viridiplantae",121480,"Haberlea"
"    469","Bacteria",469,"Acinetobacter"
"   5598","Eukaryota",5598,"Alternaria"
"   5579","Eukaryota",5579,"Aureobasidium"
"  70774","Bacteria",70774,"Hydrogenophilus"
"1335631","Bacteria",1335631,"Frischella"
"  80865","Bacteria",80865,"Delftia"
"1193515","Bacteria",1193515,"Snodgrassella"
"1478145","Viridiplantae",1478145,"Glebionis"
"1912216","Bacteria",1912216,"Cutibacterium"
"  69451","Viridiplantae",69451,"Cistus"
"   4575","Viridiplantae",4575,"Zea"
"   7136","Eukaryota",7136,"Galleria"
"  22662","Viridiplantae",22662,"Punica"
" 306405","Viridiplantae",306405,"Thymbra"
"   3932","Viridiplantae",3932,"Eucalyptus"
"   3468","Viridiplantae",3468,"Papaver"
"  15367","Viridiplantae",15367,"Brachypodium"
