"","Domain","Taxonomic_ID","species"
"1","Viridiplantae",15368,"Brachypodium distachyon"
"2","Viridiplantae",3469,"Papaver somniferum"
"3","Viridiplantae",71139,"Eucalyptus grandis"
"4","Viridiplantae",543980,"Thymbra capitata"
"5","Viridiplantae",22663,"Punica granatum"
"6","Eukaryota",7137,"Galleria mellonella"
"7","Viridiplantae",99038,"Glebionis coronaria"
"8","Bacteria",1267021,"Frischella perrara"
"9","Bacteria",180282,"Delftia tsuruhatensis"
"10","Bacteria",152509,"uncultured Bacteroidetes bacterium"
"11","Viridiplantae",321550,"Libidibia coriaria"
"12","Bacteria",82987,"Tatumella ptyseos"
"13","Bacteria",48296,"Acinetobacter pittii"
"14","Bacteria",571,"Klebsiella oxytoca"
"15","Viridiplantae",58860,"Tamarindus indica"
"16","Bacteria",548,"Klebsiella aerogenes"
"17","Bacteria",47885,"Pseudomonas oryzihabitans"
"18","Bacteria",33968,"Leuconostoc pseudomesenteroides"
"19","Bacteria",470,"Acinetobacter baumannii"
"20","Viridiplantae",24962,"Castanospermum australe"
"21","Bacteria",40216,"Acinetobacter radioresistens"
"22","Bacteria",138074,"Serratia symbiotica"
"23","Viridiplantae",49801,"Cercis canadensis"
"24","Eukaryota",371960,"Marchalina hellenica"
"25","Viruses",373126,"Sodalis phage phiSG1"
"26","Bacteria",69218,"Enterobacter cancerogenus"
"27","Viridiplantae",3352,"Pinus taeda"
"28","Viridiplantae",20340,"Ceratonia siliqua"
"29","Viridiplantae",71647,"Pinus pinaster"
"30","Viridiplantae",4686,"Asparagus officinalis"
"31","Bacteria",1914861,"Enterobacter sp. SA187"
"32","Viridiplantae",140035,"Tecomaria capensis"
"33","Bacteria",1239307,"Sodalis praecaptivus"
"34","Bacteria",1639133,"Citrobacter portucalensis"
"35","Bacteria",63612,"Sodalis glossinidius"
