"","Taxonomic_ID"
"1","1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity"
"2","1-acyl-2-lysophosphatidylserine acylhydrolase activity"
"3","1-acylglycerol-3-phosphate O-acyltransferase activity"
"4","1-alkyl-2-acetylglycerophosphocholine esterase activity"
"5","1-alpha-D-glucosylmutase activity"
"6","1-aminocyclopropane-1-carboxylate deaminase activity"
"7","1-aminocyclopropane-1-carboxylate metabolic process"
"8","1-deoxy-D-xylulose-5-phosphate reductoisomerase activity"
"9","1-deoxy-D-xylulose-5-phosphate synthase activity"
"10","1-deoxy-D-xylulose 5-phosphate biosynthetic process"
"11","1-phosphofructokinase activity"
"12","1-pyrroline-5-carboxylate dehydrogenase activity"
"13","1,4-alpha-glucan branching enzyme activity"
"14","1,4-dihydroxy-2-naphthoate octaprenyltransferase activity"
"15","1,4-dihydroxy-2-naphthoyl-CoA synthase activity"
"16","1,4-dihydroxy-2-naphthoyl-CoA thioesterase activity"
"17","1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming) activity"
"18","1,6-anhydro-N-acetyl-beta-muramic acid catabolic process"
"19","10-formyltetrahydrofolate biosynthetic process"
"20","16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase activity"
"21","16S rRNA (guanine(1207)-N(2))-methyltransferase activity"
"22","16S rRNA (guanine(966)-N(2))-methyltransferase activity"
"23","2',3'-cyclic-nucleotide 2'-phosphodiesterase activity"
"24","2-(R)-hydroxypropyl-CoM dehydrogenase activity"
"25","2-alkenal reductase [NAD(P)] activity"
"26","2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity"
"27","2-aminoadipate transaminase activity"
"28","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity"
"29","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity"
"30","2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase activity"
