"","Taxonomic_ID","DirectSM_H4","DirectSM_H5","DirectSM_H6","DirectSM_H7","SM_H4","SM_H5","SM_H6","SM_H7","Superkingdom","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","31",1,0,0,0,0,0,1,0,"Bacteria",NA,"Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcaceae",NA,NA
"2","39",2,0,0,0,0,0,0,0,"Bacteria",NA,"Proteobacteria","Deltaproteobacteria","Myxococcales","Archangiaceae",NA,NA
"3","433",3681,2613,1652,9215,4909,2966,3000,7179,"Bacteria",NA,"Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae",NA,NA
"4","468",1778,222,247,114,4092,53,666,552,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae",NA,NA
"5","481",4,376,19,36,15,333,46,91,"Bacteria",NA,"Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae",NA,NA
"6","506",1,1,2,0,2,1,3,0,"Bacteria",NA,"Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae",NA,NA
"7","543",5123,203,267,285,6677,282,649,668,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,NA
"8","641",63,1,3,0,77,0,2,0,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae",NA,NA
"9","712",1,41,4,2,0,10,2,16,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae",NA,NA
"10","772",15,69,33,141,27,1637,58,198,"Bacteria",NA,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Bartonellaceae",NA,NA
"11","775",1,0,0,0,3,2,2,0,"Bacteria",NA,"Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae",NA,NA
"12","942",200,0,1,0,601,23,0,0,"Bacteria",NA,"Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae",NA,NA
"13","1268",18,84,6,2,6,30,1,91,"Bacteria",NA,"Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae",NA,NA
"14","1300",21,627,43,29,23,257,22,3515,"Bacteria",NA,"Firmicutes","Bacilli","Lactobacillales","Streptococcaceae",NA,NA
"15","1653",1,151,14,10,3,29,2,95,"Bacteria",NA,"Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae",NA,NA
"16","1762",2,3,2,0,1,3,1,4,"Bacteria",NA,"Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae",NA,NA
"17","2012",1,0,1,0,0,0,0,0,"Bacteria",NA,"Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae",NA,NA
"18","2062",7,3,3,30,3,5,7,37,"Bacteria",NA,"Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae",NA,NA
"19","2131",177,110,748,556,850,592,449,78,"Bacteria",NA,"Tenericutes","Mollicutes","Entomoplasmatales","Spiroplasmataceae",NA,NA
"20","2146",4,0,0,0,7,0,0,0,"Bacteria",NA,"Tenericutes","Mollicutes","Acholeplasmatales","Acholeplasmataceae",NA,NA
"21","2183",1,0,0,0,0,0,0,0,"Archaea",NA,"Euryarchaeota","Methanococci","Methanococcales","Methanococcaceae",NA,NA
"22","3065",1,0,1,0,0,0,1,0,"Eukaryota","Viridiplantae","Chlorophyta","Chlorophyceae","Chlamydomonadales","Volvocaceae",NA,NA
"23","3309",2,0,0,0,0,0,0,0,"Eukaryota","Viridiplantae","Streptophyta","Ginkgoopsida","Ginkgoales","Ginkgoaceae",NA,NA
"24","3318",60452,255,116,120,8590,481,42,177,"Eukaryota","Viridiplantae","Streptophyta","Pinopsida","Pinales","Pinaceae",NA,NA
"25","3386",15,0,0,2,11,0,9,0,"Eukaryota","Viridiplantae","Streptophyta","Gnetopsida","Ephedrales","Ephedraceae",NA,NA
"26","3401",3,1,34,2,3,3,53,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Magnoliales","Magnoliaceae",NA,NA
"27","3440",1,24,7,10,0,8,9,4,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Ranunculales","Ranunculaceae",NA,NA
"28","3465",19,1971,465,7942,4,9154,198,1187,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Ranunculales","Papaveraceae",NA,NA
"29","3487",28,28,48,42,22,44,14,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Moraceae",NA,NA
"30","3503",7,148,202,74,4,84,159,16,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Fagales","Fagaceae",NA,NA
"31","3514",2,10,11,6,1,13,10,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Fagales","Betulaceae",NA,NA
"32","3542",4,0,4,8,3,1,2,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Aizoaceae",NA,NA
"33","3568",4,1,0,2,1,4,0,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae",NA,NA
"34","3602",91,17,230,662,54,14,502,62,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Vitales","Vitaceae",NA,NA
"35","3608",15,0,1,2,21,4,1,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rhamnaceae",NA,NA
"36","3629",54,17,43,49,54,70,53,37,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Malvales","Malvaceae",NA,NA
"37","3647",2,0,0,0,0,1,1,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Brassicales","Caricaceae",NA,NA
"38","3650",102,25,14,84,67,5,13,8,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae",NA,NA
"39","3680",1,0,0,0,1,0,0,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Cucurbitales","Begoniaceae",NA,NA
"40","3688",6,6,5,6,10,6,6,4,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Malpighiales","Salicaceae",NA,NA
"41","3700",30,1534,104,297,16,323,49,33,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae",NA,NA
"42","3745",198,332,77,306,154,359,56,29,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae",NA,NA
"43","3792",4,0,1,0,6,3,0,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Saxifragales","Saxifragaceae",NA,NA
"44","3803",1401,270,807,242,1379,365,790,91,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae",NA,NA
"45","3928",3,0,60,177,3,1,141,58,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Myrtales","Lythraceae",NA,NA
"46","3931",39,89,6844,1233,21,827,14544,412,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Myrtales","Myrtaceae",NA,NA
"47","3934",1,0,1,0,0,0,0,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Myrtales","Onagraceae",NA,NA
"48","3977",25,35,9,6,21,13,10,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Malpighiales","Euphorbiaceae",NA,NA
"49","4011",102,126,117,53,54,193,132,4,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Sapindales","Anacardiaceae",NA,NA
"50","4027",3,0,1,4,3,2,2,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Geraniales","Geraniaceae",NA,NA
"51","4037",7,4,4,0,4,3,4,4,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Apiales","Apiaceae",NA,NA
"52","4050",6,0,2,0,5,1,1,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Apiales","Araliaceae",NA,NA
"53","4056",35,1,2,0,30,0,2,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Gentianales","Apocynaceae",NA,NA
"54","4070",13,11,10,15,16,34,13,21,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Solanales","Solanaceae",NA,NA
"55","4118",1,11,14,4,2,6,8,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Solanales","Convolvulaceae",NA,NA
"56","4136",17,2,155,40,17,3,72,8,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Lamiaceae",NA,NA
"57","4144",105,570,743,3913,52,1223,472,573,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Oleaceae",NA,NA
"58","4196",1,0,0,2,1,0,0,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Lentibulariaceae",NA,NA
"59","4200",4,0,2,0,8,1,2,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Dipsacales","Caprifoliaceae",NA,NA
"60","4210",25,518,83,86,16,630,40,25,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae",NA,NA
"61","4294",4,2,4,2,4,3,0,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Aquifoliales","Aquifoliaceae",NA,NA
"62","4345",1,3,2,2,1,9,7,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Ericales","Ericaceae",NA,NA
"63","4374",4,1,0,0,1,0,2,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Nepenthaceae",NA,NA
"64","4381",4,6,1,6,1,24,0,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Campanulaceae",NA,NA
"65","4410",1,0,1,2,0,1,0,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Nymphaeales","Nymphaeaceae",NA,NA
"66","4429",2,1,0,0,1,0,1,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Proteales","Nelumbonaceae",NA,NA
"67","4434",1,1,0,2,0,0,1,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Brassicales","Bataceae",NA,NA
"68","4437",1,0,2,4,3,0,6,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Plumbaginaceae",NA,NA
"69","4454",3,3,1,0,1,0,2,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Alismatales","Araceae",NA,NA
"70","4479",30,3033,323,1102,14,164,457,808,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae",NA,NA
"71","4613",1,0,0,0,0,0,1,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Bromeliaceae",NA,NA
"72","4637",1,0,1,0,0,1,1,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Zingiberales","Musaceae",NA,NA
"73","4668",2,9,4,2,4,3,5,4,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Asparagales","Amaryllidaceae",NA,NA
"74","4671",4,0,0,6,1,1,0,4,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Dioscoreales","Dioscoreaceae",NA,NA
"75","4710",2227,91,651,285,1530,15261,582,41,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Arecales","Arecaceae",NA,NA
"76","4747",2,2,0,0,1,1,0,4,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Asparagales","Orchidaceae",NA,NA
"77","4893",7,5,3,6,8,7,0,4,"Eukaryota","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae",NA,NA
"78","5654",1,0,2,4,2,0,0,4,"Eukaryota",NA,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae",NA,NA
"79","5809",1,1,0,0,0,1,0,0,"Eukaryota",NA,"Apicomplexa","Conoidasida","Eucoccidiorida","Sarcocystidae",NA,NA
"80","6214",1,0,0,0,0,2,0,0,"Eukaryota","Metazoa","Platyhelminthes","Cestoda","Cyclophyllidea","Hymenolepididae",NA,NA
"81","6553",1,0,0,0,0,0,0,0,"Eukaryota","Metazoa","Mollusca","Bivalvia","Arcoida","Arcidae",NA,NA
