"","Domain","Taxonomic_ID","genus"
"1","Bacteria",84565,"Sodalis"
"2","Bacteria",953,"Wolbachia"
"3","Viridiplantae",4685,"Asparagus"
"4","Viridiplantae",3337,"Pinus"
"5","Bacteria",544,"Citrobacter"
"6","Viridiplantae",49800,"Cercis"
"7","Bacteria",547,"Enterobacter"
"8","Bacteria",613,"Serratia"
"9","Bacteria",662,"Vibrio"
"10","Viridiplantae",58859,"Tamarindus"
"11","Bacteria",22,"Shewanella"
"12","Bacteria",570,"Klebsiella"
"13","Bacteria",1243,"Leuconostoc"
"14","Bacteria",469,"Acinetobacter"
"15","Viridiplantae",4719,"Phoenix"
"16","Eukaryota",5598,"Alternaria"
"17","Eukaryota",5579,"Aureobasidium"
"18","Bacteria",286,"Pseudomonas"
"19","Bacteria",53335,"Pantoea"
"20","Bacteria",1335631,"Frischella"
"21","Bacteria",1193503,"Gilliamella"
"22","Bacteria",1193515,"Snodgrassella"
"23","Viridiplantae",3603,"Vitis"
"24","Bacteria",1912216,"Cutibacterium"
"25","Bacteria",1716,"Corynebacterium"
"26","Eukaryota",55193,"Malassezia"
"27","Bacteria",338,"Xanthomonas"
"28","Eukaryota",46580,"Spirometra"
"29","Viridiplantae",4145,"Olea"
"30","Viridiplantae",3511,"Quercus"
"31","Bacteria",963,"Herbaspirillum"
"32","Viridiplantae",3898,"Trifolium"
"33","Viruses",10663,"Tequatrovirus"
"34","Viridiplantae",4575,"Zea"
"35","Eukaryota",7136,"Galleria"
"36","Viridiplantae",3877,"Medicago"
"37","Viridiplantae",22662,"Punica"
"38","Bacteria",1301,"Streptococcus"
"39","Bacteria",1386,"Bacillus"
"40","Viridiplantae",3932,"Eucalyptus"
"41","Viridiplantae",3468,"Papaver"
"42","Viridiplantae",15367,"Brachypodium"
