"","Domain","Taxonomic_ID","species"
"1","Bacteria",63612,"Sodalis glossinidius"
"2","Bacteria",1639133,"Citrobacter portucalensis"
"3","Bacteria",1239307,"Sodalis praecaptivus"
"4","Viridiplantae",140035,"Tecomaria capensis"
"5","Bacteria",1914861,"Enterobacter sp. SA187"
"6","Viridiplantae",4686,"Asparagus officinalis"
"7","Viridiplantae",71647,"Pinus pinaster"
"8","Viridiplantae",20340,"Ceratonia siliqua"
"9","Viridiplantae",3352,"Pinus taeda"
"10","Bacteria",69218,"Enterobacter cancerogenus"
"11","Viruses",373126,"Sodalis phage phiSG1"
"12","Eukaryota",371960,"Marchalina hellenica"
"13","Viridiplantae",49801,"Cercis canadensis"
"14","Bacteria",138074,"Serratia symbiotica"
"15","Bacteria",40216,"Acinetobacter radioresistens"
"16","Viridiplantae",24962,"Castanospermum australe"
"17","Bacteria",470,"Acinetobacter baumannii"
"18","Bacteria",33968,"Leuconostoc pseudomesenteroides"
"19","Bacteria",47885,"Pseudomonas oryzihabitans"
"20","Bacteria",548,"Klebsiella aerogenes"
"21","Viridiplantae",58860,"Tamarindus indica"
"22","Bacteria",571,"Klebsiella oxytoca"
"23","Bacteria",48296,"Acinetobacter pittii"
"24","Bacteria",82987,"Tatumella ptyseos"
"25","Viridiplantae",321550,"Libidibia coriaria"
"26","Bacteria",152509,"uncultured Bacteroidetes bacterium"
"27","Bacteria",180282,"Delftia tsuruhatensis"
"28","Bacteria",1267021,"Frischella perrara"
"29","Viridiplantae",99038,"Glebionis coronaria"
"30","Eukaryota",7137,"Galleria mellonella"
"31","Viridiplantae",22663,"Punica granatum"
"32","Viridiplantae",543980,"Thymbra capitata"
"33","Viridiplantae",71139,"Eucalyptus grandis"
"34","Viridiplantae",3469,"Papaver somniferum"
"35","Viridiplantae",15368,"Brachypodium distachyon"
