"Myxococcus xanthus"
"Elizabethkingia meningoseptica"
"Empedobacter brevis"
"Chryseobacterium indoltheticum"
"Pseudomonas aeruginosa"
"Pseudomonas fluorescens"
"Pseudomonas putida"
"Pseudomonas stutzeri"
"Pseudomonas syringae"
"Burkholderia glumae"
"Xanthomonas citri"
"Acetobacter pasteurianus"
"Gluconobacter oxydans"
"Acinetobacter baumannii"
"Acinetobacter calcoaceticus"
"Citrobacter freundii"
"Klebsiella aerogenes"
"Pantoea agglomerans"
"Enterobacter cloacae"
"Pantoea ananatis"
"Escherichia coli"
"Pseudescherichia vulneris"
"Hafnia alvei"
"Klebsiella oxytoca"
"Klebsiella pneumoniae"
"Raoultella planticola"
"Morganella morganii"
"Serratia liquefaciens"
"Serratia marcescens"
"Serratia odorifera"
"Arsenophonus nasoniae"
"Vibrio campbellii"
"Sebaldella termitidis"
"Faecalibacterium prausnitzii"
"Fusobacterium varium"
"Megasphaera elsdenii"
"Wolbachia pipientis"
"Rhodobacter sphaeroides"
"Leuconostoc gelidum"
"Pediococcus acidilactici"
"Kocuria rosea"
"Staphylococcus aureus"
"Staphylococcus epidermidis"
"Staphylococcus xylosus"
"Enterococcus faecalis"
"Enterococcus gallinarum"
"Lactococcus lactis"
"Lactococcus raffinolactis"
"Aerococcus viridans"
"Bacillus megaterium"
"Bacillus thuringiensis"
"Bacillus lentus"
"Lactobacillus acidophilus"
"Weissella confusa"
"Lactobacillus delbrueckii"
"Fructobacillus fructosus"
"Bifidobacterium asteroides"
"Cutibacterium acnes"
"Curtobacterium flaccumfaciens"
"Rothia dentocariosa"
"Spiroplasma melliferum"
"Spiroplasma apis"
"Methanococcus voltae"
"Citrus sinensis"
"Chondrus crispus"
"Phaeodactylum tricornutum"
"Volvox carteri"
"Ginkgo biloba"
"Picea glauca"
"Picea sitchensis"
"Pinus pinea"
"Pinus radiata"
"Pinus sylvestris"
"Pinus taeda"
"Ephedra distachya"
"Liriodendron tulipifera"
"Papaver somniferum"
"Morus alba"
"Betula pendula"
"Gossypium hirsutum"
"Carica papaya"
"Bryonia dioica"
"Citrullus lanatus"
"Cucumis melo"
"Cucumis sativus"
"Ecballium elaterium"
"Populus trichocarpa"
"Raphanus sativus"
"Malus domestica"
"Prunus dulcis"
"Pyrus pyrifolia"
"Arachis hypogaea"
"Cicer arietinum"
"Lupinus angustifolius"
"Medicago truncatula"
"Phaseolus vulgaris"
"Styphnolobium japonicum"
"Trifolium repens"
"Vigna angularis"
"Viscum album"
"Hevea brasiliensis"
"Manihot esculenta"
"Ricinus communis"
"Hedera helix"
"Panax ginseng"
"Solanum lycopersicum"
"Solanum tuberosum"
"Olea europaea"
"Erythranthe guttata"
"Nelumbo nucifera"
"Batis maritima"
"Camellia sinensis"
"Hordeum vulgare"
"Oryza sativa"
"Zea mays"
"Ananas comosus"
"Musa acuminata"
"Allium cepa"
"Asparagus officinalis"
"Zygosaccharomyces rouxii"
"Aspergillus flavus"
"Rhodotorula glutinis"
"Aureobasidium pullulans"
"Alternaria alternata"
"Leishmania major"
