DAY, MEAN  TEMP,HIGH,TIME,LOW,TIME, HEAT DEG DAYS,COOL  DEG DAYS,RAIN,AVG WIIND SPEED,HIGH,TIME,DOM DIR
01/01/2019,8.5,9.8,14:50,7.6,05:00,9.8,0,28,24.6,70.8,10:10,N
02/01/2019,7.6,10.1,13:50,3.6,22:50,10.7,0,0,6.8,37,00:30,N
03/01/2019,6.6,8.7,13:50,3.8,00:10,11.7,0,12.6,15,43.5,17:40,N
04/01/2019,5.7,9.2,13:10,2.1,03:50,12.7,0,5.2,8.7,40.2,21:00,NNE
05/01/2019,4.7,8.2,13:20,2.1,20:00,13.6,0,0,7.1,51.5,00:00,WNW
06/01/2019,5.3,9.5,15:10,-0.2,07:10,13.1,0,0,8.9,43.5,00:10,WNW
07/01/2019,4.8,7.4,13:00,0.1,07:30,13.6,0,0,12.2,41.8,13:30,N
08/01/2019,2.4,6.6,13:30,-0.2,07:40,15.9,0,0,10.6,51.5,00:50,W
09/01/2019,8.4,13.8,21:00,0.1,00:40,9.9,0,2.6,11.1,54.7,17:00,SSE
10/01/2019,13.9,16.2,12:30,11.6,00:50,4.4,0,1,13.4,43.5,13:40,SSW
11/01/2019,12.2,14.9,15:30,9.1,20:00,6.1,0,19.2,6.9,37,01:40,SW
12/01/2019,8.2,9.9,01:00,6.9,08:00,10.1,0,19.4,11.4,40.2,23:50,NNE
13/01/2019,8.2,11.4,13:10,4,08:10,10.1,0,0,5.8,41.8,00:10,N
14/01/2019,9.4,12.7,14:40,4.7,08:10,8.9,0,0.2,4.3,22.5,12:10,N
15/01/2019,7.6,10.5,14:20,3.6,23:50,10.8,0,8.2,15.1,62.8,22:20,WNW
16/01/2019,7.7,11.9,15:30,2.9,07:40,10.7,0,0,15.8,56.3,01:00,W
17/01/2019,10.1,13.8,14:10,6.2,23:20,8.3,0,0,9.5,41.8,00:50,W
18/01/2019,9.8,15.1,14:40,5.7,07:20,8.6,0,0,3.4,20.9,11:10,W
19/01/2019,10.2,15,13:00,6.1,08:00,8.1,0,1.6,2.4,16.1,13:10,NNW
