# Gene Family	ETBH_Abundance-RPKs	OTBH_Abundance-RPKs
UNMAPPED	431424.0	339411.0
UNGROUPED	21230.255	197.841
UNGROUPED|g__Acetobacter.s__Acetobacter_orientalis	1161.375	0.0
UNGROUPED|g__Acinetobacter.s__Acinetobacter_boissieri	1609.713	0.0
UNGROUPED|g__Lactobacillus.s__Lactobacillus_kunkeei	14784.948	197.841
UNGROUPED|g__Zymomonas.s__Zymomonas_mobilis	3674.219	0.0
GO:0000015: [CC] phosphopyruvate hydratase complex	29.594	0.0
GO:0000015: [CC] phosphopyruvate hydratase complex|g__Lactobacillus.s__Lactobacillus_kunkeei	29.594	0.0
GO:0000027: [BP] ribosomal large subunit assembly	47.947	0.0
GO:0000027: [BP] ribosomal large subunit assembly|g__Acinetobacter.s__Acinetobacter_boissieri	10.677	0.0
GO:0000027: [BP] ribosomal large subunit assembly|g__Lactobacillus.s__Lactobacillus_kunkeei	37.269	0.0
GO:0000034: [MF] adenine deaminase activity	24.862	0.0
GO:0000034: [MF] adenine deaminase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	16.284	0.0
GO:0000034: [MF] adenine deaminase activity|g__Zymomonas.s__Zymomonas_mobilis	8.578	0.0
GO:0000036: [MF] ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process	407.483	0.0
GO:0000036: [MF] ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process|g__Lactobacillus.s__Lactobacillus_kunkeei	370.731	0.0
GO:0000036: [MF] ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process|g__Zymomonas.s__Zymomonas_mobilis	36.752	0.0
GO:0000049: [MF] tRNA binding	762.894	0.0
GO:0000049: [MF] tRNA binding|g__Acetobacter.s__Acetobacter_orientalis	22.409	0.0
GO:0000049: [MF] tRNA binding|g__Acinetobacter.s__Acinetobacter_boissieri	47.918	0.0
GO:0000049: [MF] tRNA binding|g__Lactobacillus.s__Lactobacillus_kunkeei	626.083	0.0
GO:0000049: [MF] tRNA binding|g__Zymomonas.s__Zymomonas_mobilis	66.484	0.0
GO:0000103: [BP] sulfate assimilation	14.402	0.0
GO:0000103: [BP] sulfate assimilation|g__Zymomonas.s__Zymomonas_mobilis	14.402	0.0
GO:0000104: [MF] succinate dehydrogenase activity	10.989	0.0
GO:0000104: [MF] succinate dehydrogenase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	10.989	0.0
GO:0000105: [BP] histidine biosynthetic process	90.235	0.0
GO:0000105: [BP] histidine biosynthetic process|g__Acetobacter.s__Acetobacter_orientalis	9.968	0.0
GO:0000105: [BP] histidine biosynthetic process|g__Lactobacillus.s__Lactobacillus_kunkeei	23.894	0.0
GO:0000105: [BP] histidine biosynthetic process|g__Zymomonas.s__Zymomonas_mobilis	56.374	0.0
GO:0000107: [MF] imidazoleglycerol-phosphate synthase activity	11.28	0.0
GO:0000107: [MF] imidazoleglycerol-phosphate synthase activity|g__Acetobacter.s__Acetobacter_orientalis	4.987	0.0
GO:0000107: [MF] imidazoleglycerol-phosphate synthase activity|g__Zymomonas.s__Zymomonas_mobilis	6.293	0.0
GO:0000150: [MF] recombinase activity	171.49	11.632
GO:0000150: [MF] recombinase activity|g__Acetobacter.s__Acetobacter_orientalis	5.661	0.0
GO:0000150: [MF] recombinase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	154.999	11.632
GO:0000150: [MF] recombinase activity|g__Zymomonas.s__Zymomonas_mobilis	10.829	0.0
GO:0000155: [MF] phosphorelay sensor kinase activity	200.849	0.0
GO:0000155: [MF] phosphorelay sensor kinase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	118.646	0.0
GO:0000155: [MF] phosphorelay sensor kinase activity|g__Zymomonas.s__Zymomonas_mobilis	82.203	0.0
GO:0000156: [MF] phosphorelay response regulator activity	22.473	0.0
GO:0000156: [MF] phosphorelay response regulator activity|g__Zymomonas.s__Zymomonas_mobilis	22.473	0.0
GO:0000160: [BP] phosphorelay signal transduction system	198.807	0.0
GO:0000160: [BP] phosphorelay signal transduction system|g__Acetobacter.s__Acetobacter_orientalis	15.906	0.0
GO:0000160: [BP] phosphorelay signal transduction system|g__Acinetobacter.s__Acinetobacter_boissieri	12.636	0.0
GO:0000160: [BP] phosphorelay signal transduction system|g__Lactobacillus.s__Lactobacillus_kunkeei	144.293	0.0
GO:0000160: [BP] phosphorelay signal transduction system|g__Zymomonas.s__Zymomonas_mobilis	25.973	0.0
GO:0000162: [BP] tryptophan biosynthetic process	4.993	0.0
GO:0000162: [BP] tryptophan biosynthetic process|g__Zymomonas.s__Zymomonas_mobilis	4.993	0.0
GO:0000166: [MF] nucleotide binding	234.457	0.0
GO:0000166: [MF] nucleotide binding|g__Acetobacter.s__Acetobacter_orientalis	5.475	0.0
GO:0000166: [MF] nucleotide binding|g__Acinetobacter.s__Acinetobacter_boissieri	16.055	0.0
GO:0000166: [MF] nucleotide binding|g__Lactobacillus.s__Lactobacillus_kunkeei	166.418	0.0
GO:0000166: [MF] nucleotide binding|g__Zymomonas.s__Zymomonas_mobilis	46.508	0.0
GO:0000175: [MF] 3'-5'-exoribonuclease activity	13.421	0.0
GO:0000175: [MF] 3'-5'-exoribonuclease activity|g__Acinetobacter.s__Acinetobacter_boissieri	13.421	0.0
GO:0000179: [MF] rRNA (adenine-N6,N6-)-dimethyltransferase activity	26.353	0.0
GO:0000179: [MF] rRNA (adenine-N6,N6-)-dimethyltransferase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	26.353	0.0
GO:0000271: [BP] polysaccharide biosynthetic process	76.233	0.0
GO:0000271: [BP] polysaccharide biosynthetic process|g__Lactobacillus.s__Lactobacillus_kunkeei	38.23	0.0
GO:0000271: [BP] polysaccharide biosynthetic process|g__Zymomonas.s__Zymomonas_mobilis	38.003	0.0
GO:0000272: [BP] polysaccharide catabolic process	5.952	0.0
GO:0000272: [BP] polysaccharide catabolic process|g__Zymomonas.s__Zymomonas_mobilis	5.952	0.0
GO:0000287: [MF] magnesium ion binding	956.48	4.344
GO:0000287: [MF] magnesium ion binding|g__Acetobacter.s__Acetobacter_orientalis	5.165	0.0
GO:0000287: [MF] magnesium ion binding|g__Acinetobacter.s__Acinetobacter_boissieri	15.392	0.0
GO:0000287: [MF] magnesium ion binding|g__Lactobacillus.s__Lactobacillus_kunkeei	759.576	4.344
GO:0000287: [MF] magnesium ion binding|g__Zymomonas.s__Zymomonas_mobilis	176.346	0.0
GO:0000310: [MF] xanthine phosphoribosyltransferase activity	23.674	0.0
GO:0000310: [MF] xanthine phosphoribosyltransferase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	23.674	0.0
GO:0000453: [BP] enzyme-directed rRNA 2'-O-methylation	35.412	0.0
GO:0000453: [BP] enzyme-directed rRNA 2'-O-methylation|g__Lactobacillus.s__Lactobacillus_kunkeei	30.993	0.0
GO:0000453: [BP] enzyme-directed rRNA 2'-O-methylation|g__Zymomonas.s__Zymomonas_mobilis	4.419	0.0
GO:0000716: [BP] transcription-coupled nucleotide-excision repair, DNA damage recognition	31.525	0.0
GO:0000716: [BP] transcription-coupled nucleotide-excision repair, DNA damage recognition|g__Lactobacillus.s__Lactobacillus_kunkeei	26.072	0.0
GO:0000716: [BP] transcription-coupled nucleotide-excision repair, DNA damage recognition|g__Zymomonas.s__Zymomonas_mobilis	5.453	0.0
GO:0000724: [BP] double-strand break repair via homologous recombination	39.329	0.0
GO:0000724: [BP] double-strand break repair via homologous recombination|g__Lactobacillus.s__Lactobacillus_kunkeei	39.329	0.0
GO:0000725: [BP] recombinational repair	27.966	0.0
GO:0000725: [BP] recombinational repair|g__Lactobacillus.s__Lactobacillus_kunkeei	27.966	0.0
GO:0000774: [MF] adenyl-nucleotide exchange factor activity	32.188	0.0
GO:0000774: [MF] adenyl-nucleotide exchange factor activity|g__Lactobacillus.s__Lactobacillus_kunkeei	32.188	0.0
GO:0000902: [BP] cell morphogenesis	121.072	0.0
GO:0000902: [BP] cell morphogenesis|g__Acinetobacter.s__Acinetobacter_boissieri	3.482	0.0
GO:0000902: [BP] cell morphogenesis|g__Lactobacillus.s__Lactobacillus_kunkeei	112.391	0.0
GO:0000902: [BP] cell morphogenesis|g__Zymomonas.s__Zymomonas_mobilis	5.199	0.0
GO:0000906: [MF] 6,7-dimethyl-8-ribityllumazine synthase activity	16.694	0.0
GO:0000906: [MF] 6,7-dimethyl-8-ribityllumazine synthase activity|g__Acetobacter.s__Acetobacter_orientalis	7.135	0.0
GO:0000906: [MF] 6,7-dimethyl-8-ribityllumazine synthase activity|g__Zymomonas.s__Zymomonas_mobilis	9.559	0.0
GO:0000917: [BP] barrier septum assembly	208.078	0.0
GO:0000917: [BP] barrier septum assembly|g__Lactobacillus.s__Lactobacillus_kunkeei	199.475	0.0
GO:0000917: [BP] barrier septum assembly|g__Zymomonas.s__Zymomonas_mobilis	8.603	0.0
GO:0000921: [BP] septin ring assembly	28.265	0.0
GO:0000921: [BP] septin ring assembly|g__Lactobacillus.s__Lactobacillus_kunkeei	28.265	0.0
GO:0000967: [BP] rRNA 5'-end processing	42.49	0.0
GO:0000967: [BP] rRNA 5'-end processing|g__Lactobacillus.s__Lactobacillus_kunkeei	42.49	0.0
GO:0000986: [MF] bacterial-type RNA polymerase core promoter proximal region sequence-specific DNA binding	50.08	0.0
GO:0000986: [MF] bacterial-type RNA polymerase core promoter proximal region sequence-specific DNA binding|g__Zymomonas.s__Zymomonas_mobilis	50.08	0.0
GO:0001123: [BP] transcription initiation from bacterial-type RNA polymerase promoter	32.627	0.0
GO:0001123: [BP] transcription initiation from bacterial-type RNA polymerase promoter|g__Lactobacillus.s__Lactobacillus_kunkeei	20.745	0.0
GO:0001123: [BP] transcription initiation from bacterial-type RNA polymerase promoter|g__Zymomonas.s__Zymomonas_mobilis	11.882	0.0
