Software,Species,Observed_Abundance,Expected_Abundance,Taxonomic_Domain
DIAMOND,Apis mellifera filamentous virus,1.155,0.675,Viruses
DIAMOND,Apis mellifera,0.177,5.105,Eukaryota (others)
DIAMOND,Brassica cretica,0.526,9.218,Viridiplantae
DIAMOND,Chlamydomonas reinhardtii,1.953,5.435,Viridiplantae
DIAMOND,Citrus sinensis,0.172,1.822,Viridiplantae
DIAMOND,Frischella perrara,6.9,2.436,Bacteria
DIAMOND,Gilliamella apicola,0.201,0.426,Bacteria
DIAMOND,Homo sapiens,0.035,1.486,Eukaryota (others)
DIAMOND,Lactobacillus kunkeei,3.461,7.31,Bacteria
DIAMOND,Malus domestica,2.199,15.961,Viridiplantae
DIAMOND,Medicago truncatula,1.603,3.856,Viridiplantae
DIAMOND,Nosema ceranae,0.974,1.304,Eukaryota (fungi)
DIAMOND,Oxalis drummondii,0,0.049,Viridiplantae
DIAMOND,Paenibacillus apiarius,9.183,4.943,Bacteria
DIAMOND,Papaver somniferum,0.627,3.191,Viridiplantae
DIAMOND,Petunia x hybrida,0,0.008,Viridiplantae
DIAMOND,Prunus persica,0.796,5.138,Viridiplantae
DIAMOND,Pyrus x bretschneideri ,0.493,2.369,Viridiplantae
DIAMOND,Snodgrassella alvi,0.802,0.913,Bacteria
DIAMOND,Staphylococcus epidermidis ,0.166,2.321,Bacteria
DIAMOND,Theobroma cacao,1.124,4.42,Viridiplantae
DIAMOND,Varroa destructor,0.186,16.779,Eukaryota (others)
DIAMOND,Zea mays,2.088,4.834,Viridiplantae
