Software,Genus,Observed_Abundance,Expected_Abundance,Taxonomic_Domain
kraken2,Brassica,20.994,16.372,Viridiplantae
kraken2,Chlamydomonas,5.098,9.654,Viridiplantae
kraken2,Citrus,1.373,3.237,Viridiplantae
kraken2,Malus,13.225,28.35,Viridiplantae
kraken2,Medicago,6.525,6.85,Viridiplantae
kraken2,Oxalis,0.073,0.087,Viridiplantae
kraken2,Papaver,4.431,5.668,Viridiplantae
kraken2,Petunia,0.007,0.014,Viridiplantae
kraken2,Prunus,12.157,9.125,Viridiplantae
kraken2,Pyrus,3.802,4.207,Viridiplantae
kraken2,Theobroma,9.859,7.851,Viridiplantae
kraken2,Zea,8.877,8.585,Viridiplantae
