Software,Species,Observed_Abundance,Expected_Abundance,Taxonomic_Domain
minimap2,Apis mellifera filamentous virus,0,1.545,Viruses
minimap2,Apis mellifera,4.613,11.682,Eukaryota (others)
minimap2,Frischella perrara,0,5.575,Bacteria
minimap2,Gilliamella apicola,0,0.975,Bacteria
minimap2,Homo sapiens,39.293,3.401,Eukaryota (others)
minimap2,Lactobacillus kunkeei,0,16.729,Bacteria
minimap2,Nosema ceranae,3.039,2.984,Eukaryota (fungi)
minimap2,Paenibacillus apiarius,0,11.312,Bacteria
minimap2,Snodgrassella alvi,0,2.089,Bacteria
minimap2,Staphylococcus epidermidis,1.217,5.311,Bacteria
minimap2,Varroa destructor,3.219,38.397,Eukaryota (others)
