Species,Number of reafds,True relative abundance
Apis mellifera filamentous virus isolate CH-CO5,9388,0.68
Apis mellifera strain DH4 ,70983,5.11
Brassica cretica,128164,9.22
Chlamydomonas reinhardtii strain CC-503,75570,5.44
Citrus sinensis cultivar Valencia,25337,1.82
Frischella perrara strain PEB0191,33876,2.44
Gilliamella apicola strain wkB1 ,5925,0.43
Homo sapiens,20664,1.49
Lactobacillus kunkeei strain MP2,101647,7.31
Malus domestica cultivar Golden Delicious,221931,15.96
Medicago truncatula strain A17 ,53621,3.86
Nosema ceranae strain PA08 1199,18130,1.30
Oxalis drummondii,681,0.05
Paenibacillus apiarius strain NRRL B-23460 Ga0138518_107,68734,4.94
Papaver somniferum cultivar HN1,44368,3.19
Petunia x hybrida cultivar Pink Wave ,107,0.01
Prunus persica cultivar Lovell ,71436,5.14
Pyrus x bretschneideri cultivar Dangshansuli ,32936,2.37
Snodgrassella alvi wkB2,12690,0.91
Staphylococcus epidermidis ATCC 12228 ,32270,2.32
Theobroma cacao,61463,4.42
Varroa destructor,233302,16.78
Zea mays cultivar B73 ,67207,4.83
,1390430,100.00
