Reads	File	Taxonomic_ID	Genome_size
9064	Aofficinalis_reads_Spiked.fq	4686	1187.54
1070	Bdistachyon_reads_Spiked.fq	15368	218.345
4811	Ccanadensis_reads_Spiked.fq	49801	329.325
2911	Clanatus_reads_Spiked.fq	3654	367.122
440	Csinensis_reads_Spiked.fq	2711	328.281
11808	Eguttata_reads_Spiked.fq	4155	322.167
24447	Ljaponicus_reads_Spiked.fq	34305	394.455
8153	Malba_reads_Spiked.fq	3498	291.571
881	Mdomestica_reads_Spiked.fq	3750	646.79
34	Mtruncatula_reads_Spiked.fq	3880	419.474
15529	Oeuropaea_reads_Spiked.fq	4146	1316.68
4113	Pdactylifera_reads_Spiked.fq	42345	664.835
30	Pdulcis_reads_Spiked.fq	3755	236.937
393	Pgranatum_reads_Spiked.fq	22663	320.494
1466	Psomniferum_reads_Spiked.fq	3469	2676.64
73317	Ptaeda_reads_Spiked.fq	3352	22103.6
3952	Pvera_reads_Spiked.fq	55513	671.28
18750	Qsuber_reads_Spiked.fq	58331	953.299
3277	Rchinensis_reads_Spiked.fq	74649	515.119
28521	Rsativus_reads_Spiked.fq	3726	463.423
3351	Smiltiorrhiza_reads_Spiked.fq	226208	547.226
2999	Taestivum_reads_Spiked.fq	4565	14454.1
95718	Trepens_reads_Spiked.fq	3899	919.831
24456	Vvinifera_reads_Spiked.fq	29760	427.211
103991	Zmays_reads_Spiked.fq	4577	2192.4
