Taxonomic_ID,File_name,True_reads
2494788,Apis_mellifera_filamentous_virus_reads_Spiked.fq,93712
2563837,Apis_mellifera_reads_Spiked.fq,1553
69181,Brassica_cretica_Spiked.fq,9080
3055,Chlamydomonas_reads_Spiked.fq,12352
2711,Citrus_sinensis_reads_Spiked.fq,801
1267021,Frischella_reads_Spiked.fq,25451
1196095,Gilliamella_apicola_reads_Spiked.fq,23652
9606,Homo_sapiens_reads_Spiked.fq,25158
148814,Lactobacillus_kunkeii_reads_Spiked.fq,152394
3750,Malus_reads_Spiked.fq,4604
3880,Medicago_truncatula_reads_Spiked.fq,3658
40302,Nosema_ceranae_reads_Spiked.fq,107646
1087073,Oxalis_reads_Spiked.fq,5734
46240,Paenibacillus_apiarius_reads_Spiked.fq,2046
3469,Papaver_somniferum_reads_Spiked.fq,186607
4102,Petunia_reads_Spiked.fq,3914
3760,Prunus_persica_reads_Spiked.fq,21599
225117,Pyrus_reads_Spiked.fq,4363
1196083,Snodgrassella_reads_Spiked.fq,47742
1282,Staphylococcus_epidermidis_reads_Spiked.fq,19230
3641,Theobroma_reads_Spiked.fq,61600
109461,Varroa_destructor_reads_Spiked.fq,4152
4577,Zea_reads_Spiked.fq,121065
