Taxonomic_ID,File_name,True_reads
205042,Acacia_reads_Spiked.fq,147934
7460,Apis_mellifera_associated_microvirus_Spiked.fq,5380
2494788,Apis_mellifera_filamentous_virus_reads_Spiked.fq,281000
1100043,Apis_mellifera_genomovirus_reads_Spiked.fq,1885
2563837,Apis_mellifera_reads_Spiked.fq,63800
4686,Asparagus_reads_Spiked.fq,44574
1423,Bacillus_subtilis_reads_Spiked.fq,477538
1686310,Bartonella_reads_Spiked.fq,32834
1684,Bifidobacterium_asteroides_Spiked.fq,61406
1691,Bifidobacterium_indicum_Spiked.fq,196380
30195,Bombus_reads_Spiked.fq,74574
69181,Brassica_cretica_Spiked.fq,21274
3711,Brassica_rapa_reads_Spiked.fq,10647
138072,Candidatus_hamiltonella_Spiked.fq,98614
3055,Chlamydomonas_reads_Spiked.fq,35024
2708,Citrus_limon_Spiked.fq,18079
2711,Citrus_sinensis_reads_Spiked.fq,1672742
479936,Comensalibacter_intestini_Spiked.fq,83503
204038,Dickeya_dadantii_reads_Spiked.fq,170000
562,Escherichia_coli_reads_Spiked.fq,131423
3467,Eschscholzia_reads_Spiked.fq,2225
1267021,Frischella_reads_Spiked.fq,76066
7137,Galleria_mellonella_reads_Spiked.fq,77577
1196095,Gilliamella_apicola_reads_Spiked.fq,71002
1908521,Gilliamella_bombi_reads_Spiked.fq,11882
1798183,Gilliamella_intestini_reads_Spiked.fq,285706
442,Gluconobacter_reads_Spiked.fq,6490
9606,Homo_sapiens_reads_Spiked.fq,74422
1218506,Lactobacillus_kimbladii_reads_Spiked.fq,371308
148814,Lactobacillus_kunkeii_reads_Spiked.fq,639934
1218492,Lactobacillus_mellifer_reads_Spiked.fq,61625
1218508,Lactobacillus_mellis_reads_Spiked.fq,307759
3871,Lupinus_angustifolius_reads_Spiked.fq,45833
3750,Malus_reads_Spiked.fq,12387
66812,Medicago_cretacea_reads_Spiked.fq,28550
3880,Medicago_truncatula_reads_Spiked.fq,6714
35231,Nosema_apis_reads_Spiked.fq,339743
40302,Nosema_ceranae_reads_Spiked.fq,322598
46240,Paenibacillus_apiarius_reads_Spiked.fq,9173
1792174,Paenibacillus_apis_reads_Spiked.fq,32
1792175,Paenibacillus_intestini_reads_Spiked.fq,333
22694,Papaver_orientale_reads_Spiked.fq,8679
3469,Papaver_somniferum_reads_Spiked.fq,79973
1510841,Parasaccharibacter_apium_reads-t_Spiked.fq,11429
4102,Petunia_reads_Spiked.fq,35370
3349,Pinus_sylvestris_reads_Spiked.fq,2725
3352,Pinus_taeda_reads_Spiked.fq,846
584,Proteus_mirabilis_reads_Spiked.fq,232122
3755,Prunus_dulcis_reads_Spiked.fq,26239
3760,Prunus_persica_reads_Spiked.fq,64473
225117,Pyrus_reads_Spiked.fq,10010
42906,Serratia_entomophila_reads_Spiked.fq,17388
615,Serratia_marcescens_reads_Spiked.fq,231824
138074,Serratia_symbiotica_reads_Spiked.fq,14216
382,Sinorhizobium_reads_Spiked.fq,18852
1196083,Snodgrassella_reads_Spiked.fq,143091
1239307,Sodalis_reads_Spiked.fq,146230
1282,Staphylococcus_epidermidis_reads_Spiked.fq,86932
3641,Theobroma_reads_Spiked.fq,184359
252130,Uruburuella_reads_Spiked.fq,299423
109461,Varroa_destructor_reads_Spiked.fq,9698
62625,Varroa_jacobsoni_reads_Spiked.fq,24171
1475057,Vespula_reads_Spiked.fq,9907
4577,Zea_reads_Spiked.fq,181549
