Taxonomic_ID,File_name,True_reads
205042,Acacia_reads_Spiked.fq,4366
7460,Apis_mellifera_associated_microvirus_Spiked.fq,148
2494788,Apis_mellifera_filamentous_virus_reads_Spiked.fq,6237
1100043,Apis_mellifera_genomovirus_reads_Spiked.fq,45
2563837,Apis_mellifera_reads_Spiked.fq,1860
4686,Asparagus_reads_Spiked.fq,3121
1423,Bacillus_subtilis_reads_Spiked.fq,13199
1686310,Bartonella_reads_Spiked.fq,10972
1684,Bifidobacterium_asteroides_Spiked.fq,1624
1691,Bifidobacterium_indicum_Spiked.fq,5475
30195,Bombus_reads_Spiked.fq,7399
69181,Brassica_cretica_Spiked.fq,2116
3711,Brassica_rapa_reads_Spiked.fq,1325
138072,Candidatus_hamiltonella_Spiked.fq,2169
3055,Chlamydomonas_reads_Spiked.fq,2219
2708,Citrus_limon_Spiked.fq,496
2711,Citrus_sinensis_reads_Spiked.fq,45461
479936,Comensalibacter_intestini_Spiked.fq,1555
204038,Dickeya_dadantii_reads_Spiked.fq,4680
562,Escherichia_coli_reads_Spiked.fq,2926
3467,Eschscholzia_reads_Spiked.fq,639
1267021,Frischella_reads_Spiked.fq,2013
7137,Galleria_mellonella_reads_Spiked.fq,15584
1196095,Gilliamella_apicola_reads_Spiked.fq,1987
1908521,Gilliamella_bombi_reads_Spiked.fq,338
1798183,Gilliamella_intestini_reads_Spiked.fq,7968
442,Gluconobacter_reads_Spiked.fq,244
9606,Homo_sapiens_reads_Spiked.fq,2556
1218506,Lactobacillus_kimbladii_reads_Spiked.fq,8303
148814,Lactobacillus_kunkeii_reads_Spiked.fq,15169
1218492,Lactobacillus_mellifer_reads_Spiked.fq,1730
1218508,Lactobacillus_mellis_reads_Spiked.fq,6857
3871,Lupinus_angustifolius_reads_Spiked.fq,6082
3750,Malus_reads_Spiked.fq,1198
66812,Medicago_cretacea_reads_Spiked.fq,795
3880,Medicago_truncatula_reads_Spiked.fq,722
35231,Nosema_apis_reads_Spiked.fq,11089
40302,Nosema_ceranae_reads_Spiked.fq,18193
46240,Paenibacillus_apiarius_reads_Spiked.fq,434
1792174,Paenibacillus_apis_reads_Spiked.fq,1
1792175,Paenibacillus_intestini_reads_Spiked.fq,8
22694,Papaver_orientale_reads_Spiked.fq,376
3469,Papaver_somniferum_reads_Spiked.fq,2040
1510841,Parasaccharibacter_apium_reads-t_Spiked.fq,261
4102,Petunia_reads_Spiked.fq,1000
3349,Pinus_sylvestris_reads_Spiked.fq,75
3352,Pinus_taeda_reads_Spiked.fq,845
584,Proteus_mirabilis_reads_Spiked.fq,12925
3755,Prunus_dulcis_reads_Spiked.fq,1357
3760,Prunus_persica_reads_Spiked.fq,1863
225117,Pyrus_reads_Spiked.fq,1841
42906,Serratia_entomophila_reads_Spiked.fq,488
615,Serratia_marcescens_reads_Spiked.fq,6447
138074,Serratia_symbiotica_reads_Spiked.fq,466
382,Sinorhizobium_reads_Spiked.fq,418
1196083,Snodgrassella_reads_Spiked.fq,3186
1239307,Sodalis_reads_Spiked.fq,3241
1282,Staphylococcus_epidermidis_reads_Spiked.fq,3233
3641,Theobroma_reads_Spiked.fq,4418
252130,Uruburuella_reads_Spiked.fq,5021
109461,Varroa_destructor_reads_Spiked.fq,435
62625,Varroa_jacobsoni_reads_Spiked.fq,3371
1475057,Vespula_reads_Spiked.fq,282
4577,Zea_reads_Spiked.fq,40404
