Taxonomic_ID,File_name,True_reads
205042,Acacia_reads_Spiked.fq,16444
7460,Apis_mellifera_associated_microvirus_Spiked.fq,591
2494788,Apis_mellifera_filamentous_virus_reads_Spiked.fq,31284
1100043,Apis_mellifera_genomovirus_reads_Spiked.fq,207
2563837,Apis_mellifera_reads_Spiked.fq,7154
4686,Asparagus_reads_Spiked.fq,8220
1423,Bacillus_subtilis_reads_Spiked.fq,53073
1686310,Bartonella_reads_Spiked.fq,4566
1684,Bifidobacterium_asteroides_Spiked.fq,6856
1691,Bifidobacterium_indicum_Spiked.fq,21857
30195,Bombus_reads_Spiked.fq,13238
69181,Brassica_cretica_Spiked.fq,4940
3711,Brassica_rapa_reads_Spiked.fq,2073
138072,Candidatus_hamiltonella_Spiked.fq,10923
3055,Chlamydomonas_reads_Spiked.fq,5040
2708,Citrus_limon_Spiked.fq,2010
2711,Citrus_sinensis_reads_Spiked.fq,188958
479936,Comensalibacter_intestini_Spiked.fq,9286
204038,Dickeya_dadantii_reads_Spiked.fq,18823
562,Escherichia_coli_reads_Spiked.fq,14610
3467,Eschscholzia_reads_Spiked.fq,834
1267021,Frischella_reads_Spiked.fq,8462
7137,Galleria_mellonella_reads_Spiked.fq,20290
1196095,Gilliamella_apicola_reads_Spiked.fq,7908
1908521,Gilliamella_bombi_reads_Spiked.fq,1082
1798183,Gilliamella_intestini_reads_Spiked.fq,31909
442,Gluconobacter_reads_Spiked.fq,739
9606,Homo_sapiens_reads_Spiked.fq,8679
1218506,Lactobacillus_kimbladii_reads_Spiked.fq,41259
148814,Lactobacillus_kunkeii_reads_Spiked.fq,71077
1218492,Lactobacillus_mellifer_reads_Spiked.fq,6874
1218508,Lactobacillus_mellis_reads_Spiked.fq,34062
3871,Lupinus_angustifolius_reads_Spiked.fq,13724
3750,Malus_reads_Spiked.fq,2077
66812,Medicago_cretacea_reads_Spiked.fq,3143
3880,Medicago_truncatula_reads_Spiked.fq,1681
35231,Nosema_apis_reads_Spiked.fq,38079
40302,Nosema_ceranae_reads_Spiked.fq,36221
46240,Paenibacillus_apiarius_reads_Spiked.fq,1068
1792174,Paenibacillus_apis_reads_Spiked.fq,6
1792175,Paenibacillus_intestini_reads_Spiked.fq,39
22694,Papaver_orientale_reads_Spiked.fq,948
3469,Papaver_somniferum_reads_Spiked.fq,7399
1510841,Parasaccharibacter_apium_reads-t_Spiked.fq,1251
4102,Petunia_reads_Spiked.fq,3922
3349,Pinus_sylvestris_reads_Spiked.fq,303
3352,Pinus_taeda_reads_Spiked.fq,846
584,Proteus_mirabilis_reads_Spiked.fq,25831
3755,Prunus_dulcis_reads_Spiked.fq,3422
3760,Prunus_persica_reads_Spiked.fq,7305
225117,Pyrus_reads_Spiked.fq,2631
42906,Serratia_entomophila_reads_Spiked.fq,1925
615,Serratia_marcescens_reads_Spiked.fq,25670
138074,Serratia_symbiotica_reads_Spiked.fq,1591
382,Sinorhizobium_reads_Spiked.fq,2080
1196083,Snodgrassella_reads_Spiked.fq,15899
1239307,Sodalis_reads_Spiked.fq,16209
1282,Staphylococcus_epidermidis_reads_Spiked.fq,9700
3641,Theobroma_reads_Spiked.fq,20848
252130,Uruburuella_reads_Spiked.fq,33242
109461,Varroa_destructor_reads_Spiked.fq,1839
62625,Varroa_jacobsoni_reads_Spiked.fq,6324
1475057,Vespula_reads_Spiked.fq,1086
4577,Zea_reads_Spiked.fq,20256
