"GO_description"	"Species"	"Frequency"
"1"	"3-oxoacyl-[acyl-carrier-protein] synthase activity"	"Enterobacter sp. SA187"	0
"2"	"3'-5' exonuclease activity"	"Enterobacter sp. SA187"	0
"3"	"3'-tRNA processing endoribonuclease activity"	"Enterobacter sp. SA187"	0
"4"	"4 iron, 4 sulfur cluster binding"	"Enterobacter sp. SA187"	8.18719309365295
"5"	"acetyltransferase activity"	"Enterobacter sp. SA187"	0
"6"	"acid phosphatase activity"	"Enterobacter sp. SA187"	0
"7"	"alcohol dehydrogenase (NAD) activity"	"Enterobacter sp. SA187"	0
"8"	"aldose 1-epimerase activity"	"Enterobacter sp. SA187"	0
"9"	"amino acid-transporting ATPase activity"	"Enterobacter sp. SA187"	0
"10"	"aminoacyl-tRNA editing activity"	"Enterobacter sp. SA187"	0
"11"	"aminopeptidase activity"	"Enterobacter sp. SA187"	0
"12"	"antiporter activity"	"Enterobacter sp. SA187"	0
"13"	"arginine biosynthetic process via ornithine"	"Enterobacter sp. SA187"	0
"14"	"argininosuccinate lyase activity"	"Enterobacter sp. SA187"	0
"15"	"aromatic amino acid family biosynthetic process"	"Enterobacter sp. SA187"	0
"16"	"arsenite transmembrane transporter activity"	"Enterobacter sp. SA187"	0
"17"	"ATP binding"	"Enterobacter sp. SA187"	69.2297984442809
"18"	"ATP phosphoribosyltransferase activity"	"Enterobacter sp. SA187"	0
"19"	"ATP-binding cassette (ABC) transporter complex"	"Enterobacter sp. SA187"	7.66822873378975
"20"	"ATP-dependent DNA helicase activity"	"Enterobacter sp. SA187"	7.38305639942306
"21"	"ATPase activity"	"Enterobacter sp. SA187"	12.1185526922552
"22"	"ATPase activity, coupled to transmembrane movement of substances"	"Enterobacter sp. SA187"	0
"23"	"bacterial-type flagellum-dependent cell motility"	"Enterobacter sp. SA187"	6.14589688945563
"24"	"barrier septum assembly"	"Enterobacter sp. SA187"	0
"25"	"beta-ketoacyl-acyl-carrier-protein synthase III activity"	"Enterobacter sp. SA187"	0
"26"	"biosynthetic process"	"Enterobacter sp. SA187"	5.43248136740257
"27"	"biotin biosynthetic process"	"Enterobacter sp. SA187"	0
"28"	"carbohydrate binding"	"Enterobacter sp. SA187"	6.59697189051659
"29"	"carbohydrate metabolic process"	"Enterobacter sp. SA187"	22.6467060274093
"30"	"carbohydrate transmembrane transporter activity"	"Enterobacter sp. SA187"	0
"31"	"carboxypeptidase activity"	"Enterobacter sp. SA187"	0
"32"	"catalytic activity"	"Enterobacter sp. SA187"	11.1904060035264
"33"	"cation transmembrane transporter activity"	"Enterobacter sp. SA187"	0
"34"	"cell adhesion"	"Enterobacter sp. SA187"	0
"35"	"cell cycle"	"Enterobacter sp. SA187"	0
"36"	"cell division"	"Enterobacter sp. SA187"	5.61990413331323
"37"	"cell morphogenesis"	"Enterobacter sp. SA187"	0
"38"	"cell outer membrane"	"Enterobacter sp. SA187"	10.0825242937563
"39"	"cell wall organization"	"Enterobacter sp. SA187"	5.89216720135884
"40"	"cellular response to starvation"	"Enterobacter sp. SA187"	0
"41"	"cellulose biosynthetic process"	"Enterobacter sp. SA187"	6.76612501591445
"42"	"chemotaxis"	"Enterobacter sp. SA187"	7.6634421227167
"43"	"chromosome"	"Enterobacter sp. SA187"	0
"44"	"chromosome segregation"	"Enterobacter sp. SA187"	0
"45"	"coenzyme binding"	"Enterobacter sp. SA187"	0
"46"	"conjugation"	"Enterobacter sp. SA187"	0
"47"	"copper ion binding"	"Enterobacter sp. SA187"	0
"48"	"cytochrome o ubiquinol oxidase activity"	"Enterobacter sp. SA187"	0
"49"	"cytochrome-c oxidase activity"	"Enterobacter sp. SA187"	0
"50"	"cytoplasm"	"Enterobacter sp. SA187"	55.068545265177
"51"	"D-gluconate metabolic process"	"Enterobacter sp. SA187"	0
"52"	"damaged DNA binding"	"Enterobacter sp. SA187"	0
"53"	"DNA binding"	"Enterobacter sp. SA187"	50.6083380608828
"54"	"DNA helicase activity"	"Enterobacter sp. SA187"	0
"55"	"DNA integration"	"Enterobacter sp. SA187"	0
"56"	"DNA ligase (NAD+) activity"	"Enterobacter sp. SA187"	0
"57"	"DNA recombination"	"Enterobacter sp. SA187"	0
"58"	"DNA repair"	"Enterobacter sp. SA187"	10.6818453853421
"59"	"DNA replication"	"Enterobacter sp. SA187"	7.44677221149565
"60"	"DNA topoisomerase type II (ATP-hydrolyzing) activity"	"Enterobacter sp. SA187"	0
"61"	"DNA topological change"	"Enterobacter sp. SA187"	0
"62"	"DNA unwinding involved in DNA replication"	"Enterobacter sp. SA187"	0
"63"	"DNA-dependent DNA replication"	"Enterobacter sp. SA187"	0
"64"	"DNA-directed DNA polymerase activity"	"Enterobacter sp. SA187"	0
"65"	"DNA-directed RNA polymerase activity"	"Enterobacter sp. SA187"	0
"66"	"double-strand break repair via homologous recombination"	"Enterobacter sp. SA187"	6.71430281364362
"67"	"drug transmembrane transporter activity"	"Enterobacter sp. SA187"	0
"68"	"electron carrier activity"	"Enterobacter sp. SA187"	6.05947415070458
"69"	"endoribonuclease activity"	"Enterobacter sp. SA187"	0
"70"	"exodeoxyribonuclease V activity"	"Enterobacter sp. SA187"	9.82729775451476
"71"	"fatty acid biosynthetic process"	"Enterobacter sp. SA187"	0
"72"	"flavin adenine dinucleotide binding"	"Enterobacter sp. SA187"	6.11770470188932
"73"	"FtsZ-dependent cytokinesis"	"Enterobacter sp. SA187"	0
"74"	"galactose binding"	"Enterobacter sp. SA187"	0
"75"	"galactose metabolic process"	"Enterobacter sp. SA187"	0
"76"	"galactose transport"	"Enterobacter sp. SA187"	0
"77"	"glutamate-ammonia ligase activity"	"Enterobacter sp. SA187"	0
"78"	"glutamine biosynthetic process"	"Enterobacter sp. SA187"	0
