"GO_description"	"Enterobacter sp. SA187 - Mean SM/DSM"	"Klebsiella oxytoca - Mean SM/DSM"	"Leuconostoc pseudomesenteroides - Mean SM/DSM"	"Sodalis glossinidius - Mean SM/DSM"	"Sodalis praecaptivus - Mean SM/DSM"	"Enterobacter sp. SA187 - SD SM/DSM"	"Klebsiella oxytoca - SD SM/DSM"	"Leuconostoc pseudomesenteroides - SD SM/DSM"	"Sodalis glossinidius - SD SM/DSM"	"Sodalis praecaptivus - SD SM/DSM"	"term"	"df"	"sumsq"	"meansq"	"statistic"	"p.value"	"significance"
"1"	"1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity"	0	0	0.112768750265241	0	1.09238133333552	0	0	0.159479096036968	0	1.2858934577699	"Species"	4	1.83107284731137	0.457768211827843	1.36325290816985	0.364616563420669	"not sign."
"2"	"1-acyl-2-lysophosphatidylserine acylhydrolase activity"	0.225537500530482	0	0	0	0.565907382567712	0.318958192073937	0	0	0	0.321876607363413	"Species"	4	0.491682658387426	0.122920664596857	2.99311716806134	0.13017392710634	"not sign."
"3"	"1-acylglycerol-3-phosphate O-acyltransferase activity"	0.281921875663102	0	0.0610391164876695	0	0.0281921875663102	0.39869774009242	0	0.0863223463721334	0	0.039869774009242	"Species"	4	0.112899161191902	0.0282247902979754	0.840018349072399	0.55458786903118	"not sign."
"4"	"1-alkyl-2-acetylglycerophosphocholine esterase activity"	0.183117349463008	0	0	0	0	0.2589670391164	0	0	0	0	"Species"	4	0.0536511418789719	0.013412785469743	1	0.485657196759213	"not sign."
"5"	"1-alpha-D-glucosylmutase activity"	0.300540841083297	0	0	0	0	0.265549837470048	0	0	0	0	"Species"	4	0.144519675454489	0.0361299188636224	2.56179816791303	0.165049327047081	"not sign."
"6"	"1-aminocyclopropane-1-carboxylate deaminase activity"	0.0281921875663102	0	0	0	0	0.039869774009242	0	0	0	0	"Species"	4	0.00127167910363842	0.000317919775909606	0.999999999999998	0.485657196759214	"not sign."
"7"	"1-deoxy-D-xylulose-5-phosphate synthase activity"	0.0751352102708246	0	0	0	0	0.0663874593675124	0	0	0	0	"Species"	4	0.00903247971590565	0.00225811992897641	2.56179816791301	0.165049327047082	"not sign."
"8"	"1-pyrroline-5-carboxylate dehydrogenase activity"	0.169153125397862	0	0	0	0	0.239218644055453	0	0	0	0	"Species"	4	0.0457804477309834	0.0114451119327459	0.999999999999999	0.485657196759214	"not sign."
"9"	"1,4-alpha-glucan branching enzyme activity"	0.133846956080969	0	0	0	0.713718562713825	0.0696788585443367	0	0	0	0.889741149079598	"Species"	4	0.767271465368903	0.191817866342226	1.2041381140262	0.412266116565017	"not sign."
"10"	"1,4-dihydroxy-2-naphthoate octaprenyltransferase activity"	0.0422882813494653	0	0	0	0	0.0598046610138631	0	0	0	0	"Species"	4	0.00286127798318646	0.000715319495796616	0.999999999999999	0.485657196759214	"not sign."
