"","Taxonomic_ID","DirectSM_H4","DirectSM_H5","DirectSM_H6","DirectSM_H7","SM_H4","SM_H5","SM_H6","SM_H7","Superkingdom","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","433",3681,2613,1652,9215,4909,2966,3000,7179,"Bacteria",NA,"Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae",NA,NA
"2","468",1778,222,247,114,4092,53,666,552,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae",NA,NA
"3","481",4,376,19,36,15,333,46,91,"Bacteria",NA,"Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae",NA,NA
"4","543",5123,203,267,285,6677,282,649,668,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,NA
"5","641",63,1,3,0,77,0,2,0,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae",NA,NA
"6","772",15,69,33,141,27,1637,58,198,"Bacteria",NA,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Bartonellaceae",NA,NA
"7","942",200,0,1,0,601,23,0,0,"Bacteria",NA,"Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae",NA,NA
"8","1268",18,84,6,2,6,30,1,91,"Bacteria",NA,"Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae",NA,NA
"9","1300",21,627,43,29,23,257,22,3515,"Bacteria",NA,"Firmicutes","Bacilli","Lactobacillales","Streptococcaceae",NA,NA
"10","1653",1,151,14,10,3,29,2,95,"Bacteria",NA,"Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae",NA,NA
"11","2131",177,110,748,556,850,592,449,78,"Bacteria",NA,"Tenericutes","Mollicutes","Entomoplasmatales","Spiroplasmataceae",NA,NA
"12","3318",60452,255,116,120,8590,481,42,177,"Eukaryota","Viridiplantae","Streptophyta","Pinopsida","Pinales","Pinaceae",NA,NA
"13","3465",19,1971,465,7942,4,9154,198,1187,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Ranunculales","Papaveraceae",NA,NA
"14","3503",7,148,202,74,4,84,159,16,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Fagales","Fagaceae",NA,NA
"15","3602",91,17,230,662,54,14,502,62,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Vitales","Vitaceae",NA,NA
"16","3629",54,17,43,49,54,70,53,37,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Malvales","Malvaceae",NA,NA
"17","3650",102,25,14,84,67,5,13,8,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae",NA,NA
"18","3700",30,1534,104,297,16,323,49,33,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae",NA,NA
"19","3745",198,332,77,306,154,359,56,29,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae",NA,NA
"20","3803",1401,270,807,242,1379,365,790,91,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae",NA,NA
"21","3928",3,0,60,177,3,1,141,58,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Myrtales","Lythraceae",NA,NA
"22","3931",39,89,6844,1233,21,827,14544,412,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Myrtales","Myrtaceae",NA,NA
"23","4011",102,126,117,53,54,193,132,4,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Sapindales","Anacardiaceae",NA,NA
"24","4136",17,2,155,40,17,3,72,8,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Lamiaceae",NA,NA
"25","4144",105,570,743,3913,52,1223,472,573,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Oleaceae",NA,NA
"26","4210",25,518,83,86,16,630,40,25,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae",NA,NA
"27","4479",30,3033,323,1102,14,164,457,808,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae",NA,NA
"28","4710",2227,91,651,285,1530,15261,582,41,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Arecales","Arecaceae",NA,NA
"29","7135",8,1,594,2,17,17,2312,12,"Eukaryota","Metazoa","Arthropoda","Insecta","Lepidoptera","Pyralidae",NA,NA
"30","7458",735,1442,617,1003,731,1781,687,190,"Eukaryota","Metazoa","Arthropoda","Insecta","Hymenoptera","Apidae",NA,NA
"31","10662",46,244,210,232,100,128,157,379,"Viruses",NA,"Uroviricota","Caudoviricetes","Caudovirales","Myoviridae",NA,NA
"32","10699",200,554,1364,497,1012,915,2171,202,"Viruses",NA,"Uroviricota","Caudoviricetes","Caudovirales","Siphoviridae",NA,NA
"33","23513",36,189,91,57,28,75,85,33,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Sapindales","Rutaceae",NA,NA
"34","24079",147,0,1,0,217,0,2,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Bignoniaceae",NA,NA
"35","28556",141,18,22,8,67,11,11,21,"Eukaryota","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae",NA,NA
"36","28843",8,7,24,65,4,2,5,495,"Eukaryota","Metazoa","Platyhelminthes","Cestoda","Diphyllobothriidea","Diphyllobothriidae",NA,NA
"37","31957",12,2209,126,91,18,557,36,593,"Bacteria",NA,"Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae",NA,NA
"38","32033",36,14,179,44,19,9,360,103,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae",NA,NA
"39","33958",23803,37077,30409,49159,80189,54272,68530,6326,"Bacteria",NA,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae",NA,NA
"40","40552",1222,0,3,4,1651,1,5,8,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Asparagales","Asparagaceae",NA,NA
"41","69450",2,119,20,48,0,742,34,87,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Malvales","Cistaceae",NA,NA
"42","75682",17,5,31,10,7,1,70,70,"Bacteria",NA,"Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"43","80864",1,1725,16,6,2,49,76,45,"Bacteria",NA,"Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA
"44","81850",1196,33,76,95,1213,20,119,95,"Bacteria",NA,"Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae",NA,NA
"45","90964",30,594,145,251,15,137,34,2559,"Bacteria",NA,"Firmicutes","Bacilli","Bacillales","Staphylococcaceae",NA,NA
"46","109261",24,79,49,61,47,34,65,25,"Eukaryota","Metazoa","Arthropoda","Arachnida","Mesostigmata","Varroidae",NA,NA
"47","119045",75,14,7,2,22,0,2,82,"Bacteria",NA,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae",NA,NA
"48","119060",15,65,11,51,10,4,12,185,"Bacteria",NA,"Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae",NA,NA
"49","135621",2484,309,569,276,2262,190,2169,495,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae",NA,NA
"50","186817",4,333,216,8,4,12,2096,0,"Bacteria",NA,"Firmicutes","Bacilli","Bacillales","Bacillaceae",NA,NA
"51","267890",76,1,1,6,54,0,4,0,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae",NA,NA
"52","742845",4,744,40,46,9,163,10,367,"Eukaryota","Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae",NA,NA
"53","1240483",48,1851,185,660,133,11726,182,25,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Orbales","Orbaceae",NA,NA
"54","1570301",241,6,30,57,129,15,26,16,"Eukaryota","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae",NA,NA
"55","1903409",1917,256,1236,438,3058,675,4337,556,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae",NA,NA
"56","1903410",27757,17,27,72,30242,288,33,243,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae",NA,NA
"57","1903411",25328,256,322,518,30616,15170,732,515,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae",NA,NA
"58","1903414",271,110,302,44,926,85,276,21,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae",NA,NA
"59","188786",0,3685,0,0,0,58,0,0,"Bacteria",NA,"Deinococcus-Thermus","Deinococci","Thermales","Thermaceae",NA,NA
