"","Taxonomic_ID","DirectSM_H4","DirectSM_H5","DirectSM_H6","DirectSM_H7","SM_H4","SM_H5","SM_H6","SM_H7","Superkingdom","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","22",106,1,1,5,72,0,4,0,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella",NA
"2","286",3426,228,609,233,2983,168,2288,446,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"3","338",10,4,105,11,5,4,206,19,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonas",NA
"4","434",6,71,18,10,7,24,206,60,"Bacteria",NA,"Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter",NA
"5","469",2469,132,246,88,5441,40,668,397,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA
"6","544",653,0,3,2,528,5,8,4,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter",NA
"7","547",3603,5,25,18,4000,12,68,30,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter",NA
"8","551",138,48,306,80,200,40,724,90,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Erwinia",NA
"9","570",419,6,27,8,586,18,39,15,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella",NA
"10","613",34952,185,334,441,40484,13174,749,461,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia",NA
"11","637",338,35,306,29,1171,64,249,19,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Arsenophonus",NA
"12","662",88,1,3,0,99,0,2,0,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio",NA
"13","773",21,52,36,121,36,1449,62,180,"Bacteria",NA,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Bartonellaceae","Bartonella",NA
"14","953",280,0,1,0,805,21,0,0,"Bacteria",NA,"Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Wolbachia",NA
"15","963",4,4,31,8,1,0,66,56,"Bacteria",NA,"Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum",NA
"16","1243",1651,11,65,56,1583,8,93,79,"Bacteria",NA,"Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc",NA
"17","1279",38,438,156,216,19,121,36,2308,"Bacteria",NA,"Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",NA
"18","1301",1,369,38,16,3,160,3,1101,"Bacteria",NA,"Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"19","1357",29,90,8,8,27,64,21,2019,"Bacteria",NA,"Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus",NA
"20","1386",5,49,193,5,2,6,1944,0,"Bacteria",NA,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"21","1578",33106,27391,32616,42105,106959,47789,72478,5721,"Bacteria",NA,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"22","1716",1,106,15,8,3,24,2,75,"Bacteria",NA,"Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium",NA
"23","2132",248,82,807,478,1139,524,479,71,"Bacteria",NA,"Tenericutes","Mollicutes","Entomoplasmatales","Spiroplasmataceae","Spiroplasma",NA
"24","2706",50,135,91,49,35,57,86,26,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Sapindales","Rutaceae","Citrus",NA
"25","3337",75378,168,115,95,10341,384,40,142,"Eukaryota","Viridiplantae","Streptophyta","Pinopsida","Pinales","Pinaceae","Pinus",NA
"26","3468",21,1374,483,6669,4,7407,209,1072,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Ranunculales","Papaveraceae","Papaver",NA
"27","3511",9,93,185,61,3,56,160,11,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Fagales","Fagaceae","Quercus",NA
"28","3603",128,13,245,568,72,13,530,56,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Vitales","Vitaceae","Vitis",NA
"29","3877",1,29,88,21,1,82,62,11,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Medicago",NA
"30","3898",13,93,390,66,5,7,428,22,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Trifolium",NA
"31","3932",30,33,5420,780,18,281,11262,281,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Myrtales","Myrtaceae","Eucalyptus",NA
"32","4145",116,402,705,3189,43,1023,399,472,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Oleaceae","Olea",NA
"33","4575",15,2073,293,85,3,93,428,60,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Zea",NA
"34","4685",1676,0,3,2,2166,1,5,7,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Asparagales","Asparagaceae","Asparagus",NA
"35","4719",2853,56,308,223,1835,12030,235,26,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Arecales","Arecaceae","Phoenix",NA
"36","5579",336,4,33,49,172,13,28,15,"Eukaryota","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium",NA
"37","5598",191,13,19,5,90,10,12,11,"Eukaryota","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",NA
"38","7136",9,1,639,2,23,15,2458,7,"Eukaryota","Metazoa","Arthropoda","Insecta","Lepidoptera","Pyralidae","Galleria",NA
"39","7459",939,994,536,801,802,1442,608,157,"Eukaryota","Metazoa","Arthropoda","Insecta","Hymenoptera","Apidae","Apis",NA
"40","10663",4,17,16,67,2,1,7,322,"Viruses",NA,"Uroviricota","Caudoviricetes","Caudovirales","Myoviridae","Tequatrovirus",NA
