"","Taxonomic_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Sig","lab","xvals","yvals","Superkingdom","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"31","31",0.208698019368652,-0.022703370607336,0.692740916431499,-0.0399344981300304,0.96814534749984,0.999599735494037,"NS",NA,-0.022703370607336,0.96814534749984,"Bacteria",NA,"Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcaceae",NA,NA
"39","39",0.223660813149573,0.181456931201478,0.693827975121808,0.19666692316327,0.844088196026869,0.999599735494037,"NS",NA,0.181456931201478,0.844088196026869,"Bacteria",NA,"Proteobacteria","Deltaproteobacteria","Myxococcales","Archangiaceae",NA,NA
"433","433",4401.80122934637,-0.0818021149169152,0.684513257393408,-0.120777703406607,0.903867110907024,0.999599735494037,"NS",NA,-0.0818021149169152,0.903867110907024,"Bacteria",NA,"Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae",NA,NA
"468","468",965.34182278475,-0.658664499231205,0.709278017820784,-0.907798221231222,0.363984838353121,0.999599735494037,"NS",NA,-0.658664499231205,0.363984838353121,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae",NA,NA
"481","481",115.03125586051,-0.785145353473669,0.675577154133996,-1.24150017232627,0.214421034548725,0.999599735494037,"NS",NA,-0.785145353473669,0.214421034548725,"Bacteria",NA,"Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae",NA,NA
"506","506",1.20353177661241,-0.301862964020969,0.861861256297218,-0.330022547462144,0.741382925289173,0.999599735494037,"NS",NA,-0.301862964020969,0.741382925289173,"Bacteria",NA,"Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae",NA,NA
"543","543",1769.09195458325,-0.710675087243499,0.609795933977005,-1.1798124524158,0.238074815759728,0.999599735494037,"NS",NA,-0.710675087243499,0.238074815759728,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,NA
"641","641",18.2126854437931,0.171162046279937,0.837933280053751,0.28638599916099,0.774582496890734,0.999599735494037,"NS",NA,0.171162046279937,0.774582496890734,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae",NA,NA
"712","712",9.39805827461419,0.243062570749814,0.839933083232447,0.30840617023969,0.757773287476456,0.999599735494037,"NS",NA,0.243062570749814,0.757773287476456,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae",NA,NA
"772","772",272.27054378605,-1.10259163431302,0.750872554105602,-1.44595269723316,0.148190469795827,0.999599735494037,"FC",NA,-1.10259163431302,0.148190469795827,"Bacteria",NA,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Bartonellaceae",NA,NA
