Taxonomic_ID,File_name,True_reads
205042,Acacia_reads_Spiked.fq,4389
7460,Apis_mellifera_associated_microvirus_Spiked.fq,147
2494788,Apis_mellifera_filamentous_virus_reads_Spiked.fq,6304
1100043,Apis_mellifera_genomovirus_reads_Spiked.fq,41
2563837,Apis_mellifera_reads_Spiked.fq,1873
4686,Asparagus_reads_Spiked.fq,3136
1423,Bacillus_subtilis_reads_Spiked.fq,13242
1686310,Bartonella_reads_Spiked.fq,10976
1684,Bifidobacterium_asteroides_Spiked.fq,1614
1691,Bifidobacterium_indicum_Spiked.fq,5419
30195,Bombus_reads_Spiked.fq,7403
69181,Brassica_cretica_Spiked.fq,2113
3711,Brassica_rapa_reads_Spiked.fq,1319
138072,Candidatus_hamiltonella_Spiked.fq,2195
3055,Chlamydomonas_reads_Spiked.fq,2213
2708,Citrus_limon_Spiked.fq,515
2711,Citrus_sinensis_reads_Spiked.fq,45450
479936,Comensalibacter_intestini_Spiked.fq,1566
204038,Dickeya_dadantii_reads_Spiked.fq,4760
562,Escherichia_coli_reads_Spiked.fq,2920
3467,Eschscholzia_reads_Spiked.fq,638
1267021,Frischella_reads_Spiked.fq,2026
7137,Galleria_mellonella_reads_Spiked.fq,15621
1196095,Gilliamella_apicola_reads_Spiked.fq,1975
1908521,Gilliamella_bombi_reads_Spiked.fq,347
1798183,Gilliamella_intestini_reads_Spiked.fq,8012
442,Gluconobacter_reads_Spiked.fq,245
9606,Homo_sapiens_reads_Spiked.fq,2534
1218506,Lactobacillus_kimbladii_reads_Spiked.fq,8257
148814,Lactobacillus_kunkeii_reads_Spiked.fq,15277
1218492,Lactobacillus_mellifer_reads_Spiked.fq,1717
1218508,Lactobacillus_mellis_reads_Spiked.fq,6892
3871,Lupinus_angustifolius_reads_Spiked.fq,6084
3750,Malus_reads_Spiked.fq,1202
66812,Medicago_cretacea_reads_Spiked.fq,786
3880,Medicago_truncatula_reads_Spiked.fq,722
35231,Nosema_apis_reads_Spiked.fq,11140
40302,Nosema_ceranae_reads_Spiked.fq,18224
46240,Paenibacillus_apiarius_reads_Spiked.fq,438
1792174,Paenibacillus_apis_reads_Spiked.fq,1
1792175,Paenibacillus_intestini_reads_Spiked.fq,9
22694,Papaver_orientale_reads_Spiked.fq,369
3469,Papaver_somniferum_reads_Spiked.fq,2036
1510841,Parasaccharibacter_apium_reads-t_Spiked.fq,260
4102,Petunia_reads_Spiked.fq,969
3349,Pinus_sylvestris_reads_Spiked.fq,71
3352,Pinus_taeda_reads_Spiked.fq,845
584,Proteus_mirabilis_reads_Spiked.fq,12930
3755,Prunus_dulcis_reads_Spiked.fq,1356
3760,Prunus_persica_reads_Spiked.fq,1896
225117,Pyrus_reads_Spiked.fq,1832
42906,Serratia_entomophila_reads_Spiked.fq,486
615,Serratia_marcescens_reads_Spiked.fq,6481
138074,Serratia_symbiotica_reads_Spiked.fq,466
382,Sinorhizobium_reads_Spiked.fq,427
1196083,Snodgrassella_reads_Spiked.fq,3181
1239307,Sodalis_reads_Spiked.fq,3261
1282,Staphylococcus_epidermidis_reads_Spiked.fq,3233
3641,Theobroma_reads_Spiked.fq,4435
252130,Uruburuella_reads_Spiked.fq,5060
109461,Varroa_destructor_reads_Spiked.fq,434
62625,Varroa_jacobsoni_reads_Spiked.fq,3378
1475057,Vespula_reads_Spiked.fq,270
4577,Zea_reads_Spiked.fq,40421
