Taxonomic_ID,File_name,True_reads
205042,Acacia_reads_Spiked.fq,4367
7460,Apis_mellifera_associated_microvirus_Spiked.fq,152
2494788,Apis_mellifera_filamentous_virus_reads_Spiked.fq,6287
1100043,Apis_mellifera_genomovirus_reads_Spiked.fq,47
2563837,Apis_mellifera_reads_Spiked.fq,1852
4686,Asparagus_reads_Spiked.fq,3099
1423,Bacillus_subtilis_reads_Spiked.fq,13288
1686310,Bartonella_reads_Spiked.fq,11029
1684,Bifidobacterium_asteroides_Spiked.fq,1640
1691,Bifidobacterium_indicum_Spiked.fq,5443
30195,Bombus_reads_Spiked.fq,7384
69181,Brassica_cretica_Spiked.fq,2103
3711,Brassica_rapa_reads_Spiked.fq,1324
138072,Candidatus_hamiltonella_Spiked.fq,2165
3055,Chlamydomonas_reads_Spiked.fq,2216
2708,Citrus_limon_Spiked.fq,501
2711,Citrus_sinensis_reads_Spiked.fq,45437
479936,Comensalibacter_intestini_Spiked.fq,1581
204038,Dickeya_dadantii_reads_Spiked.fq,4718
562,Escherichia_coli_reads_Spiked.fq,2922
3467,Eschscholzia_reads_Spiked.fq,639
1267021,Frischella_reads_Spiked.fq,2052
7137,Galleria_mellonella_reads_Spiked.fq,15630
1196095,Gilliamella_apicola_reads_Spiked.fq,1967
1908521,Gilliamella_bombi_reads_Spiked.fq,343
1798183,Gilliamella_intestini_reads_Spiked.fq,7998
442,Gluconobacter_reads_Spiked.fq,239
9606,Homo_sapiens_reads_Spiked.fq,2560
1218506,Lactobacillus_kimbladii_reads_Spiked.fq,8239
148814,Lactobacillus_kunkeii_reads_Spiked.fq,15302
1218492,Lactobacillus_mellifer_reads_Spiked.fq,1703
1218508,Lactobacillus_mellis_reads_Spiked.fq,6879
3871,Lupinus_angustifolius_reads_Spiked.fq,6095
3750,Malus_reads_Spiked.fq,1200
66812,Medicago_cretacea_reads_Spiked.fq,798
3880,Medicago_truncatula_reads_Spiked.fq,724
35231,Nosema_apis_reads_Spiked.fq,11108
40302,Nosema_ceranae_reads_Spiked.fq,18249
46240,Paenibacillus_apiarius_reads_Spiked.fq,430
1792174,Paenibacillus_apis_reads_Spiked.fq,1
1792175,Paenibacillus_intestini_reads_Spiked.fq,9
22694,Papaver_orientale_reads_Spiked.fq,392
3469,Papaver_somniferum_reads_Spiked.fq,2029
1510841,Parasaccharibacter_apium_reads-t_Spiked.fq,247
4102,Petunia_reads_Spiked.fq,988
3349,Pinus_sylvestris_reads_Spiked.fq,82
3352,Pinus_taeda_reads_Spiked.fq,846
584,Proteus_mirabilis_reads_Spiked.fq,12922
3755,Prunus_dulcis_reads_Spiked.fq,1348
3760,Prunus_persica_reads_Spiked.fq,1902
225117,Pyrus_reads_Spiked.fq,1834
42906,Serratia_entomophila_reads_Spiked.fq,502
615,Serratia_marcescens_reads_Spiked.fq,6416
138074,Serratia_symbiotica_reads_Spiked.fq,476
382,Sinorhizobium_reads_Spiked.fq,433
1196083,Snodgrassella_reads_Spiked.fq,3192
1239307,Sodalis_reads_Spiked.fq,3284
1282,Staphylococcus_epidermidis_reads_Spiked.fq,3212
3641,Theobroma_reads_Spiked.fq,4429
252130,Uruburuella_reads_Spiked.fq,4996
109461,Varroa_destructor_reads_Spiked.fq,439
62625,Varroa_jacobsoni_reads_Spiked.fq,3373
1475057,Vespula_reads_Spiked.fq,281
4577,Zea_reads_Spiked.fq,40495
