Taxonomic_ID	File_name	True_reads
2494788	Apis_mellifera_filamentous_virus_reads_Spiked.fq	93576
2563837	Apis_mellifera_reads_Spiked.fq	1550
69181	Brassica_cretica_Spiked.fq	9047
3055	Chlamydomonas_reads_Spiked.fq	12397
2711	Citrus_sinensis_reads_Spiked.fq	812
1267021	Frischella_reads_Spiked.fq	25456
1196095	Gilliamella_apicola_reads_Spiked.fq	23746
9606	Homo_sapiens_reads_Spiked.fq	25128
148814	Lactobacillus_kunkeii_reads_Spiked.fq	152094
3750	Malus_reads_Spiked.fq	4601
3880	Medicago_truncatula_reads_Spiked.fq	3672
40302	Nosema_ceranae_reads_Spiked.fq	107770
1087073	Oxalis_reads_Spiked.fq	5714
46240	Paenibacillus_apiarius_reads_Spiked.fq	2098
3469	Papaver_somniferum_reads_Spiked.fq	186665
4102	Petunia_reads_Spiked.fq	3956
3760	Prunus_persica_reads_Spiked.fq	21603
225117	Pyrus_reads_Spiked.fq	4350
1196083	Snodgrassella_reads_Spiked.fq	47901
1282	Staphylococcus_epidermidis_reads_Spiked.fq	19318
3641	Theobroma_reads_Spiked.fq	61322
109461	Varroa_destructor_reads_Spiked.fq	4169
4577	Zea_reads_Spiked.fq	120945
