Taxonomic_ID	File_name	True_reads
205042	Acacia_reads_Spiked.fq	148173
7460	Apis_mellifera_associated_microvirus_Spiked.fq	5327
2494788	Apis_mellifera_filamentous_virus_reads_Spiked.fq	280740
1100043	Apis_mellifera_genomovirus_reads_Spiked.fq	1890
2563837	Apis_mellifera_reads_Spiked.fq	63841
4686	Asparagus_reads_Spiked.fq	44406
1423	Bacillus_subtilis_reads_Spiked.fq	477836
1686310	Bartonella_reads_Spiked.fq	32998
1684	Bifidobacterium_asteroides_Spiked.fq	61302
1691	Bifidobacterium_indicum_Spiked.fq	196656
30195	Bombus_reads_Spiked.fq	74658
69181	Brassica_cretica_Spiked.fq	21403
3711	Brassica_rapa_reads_Spiked.fq	10534
138072	Candidatus_hamiltonella_Spiked.fq	98451
3055	Chlamydomonas_reads_Spiked.fq	34872
2708	Citrus_limon_Spiked.fq	18156
2711	Citrus_sinensis_reads_Spiked.fq	1673580
479936	Comensalibacter_intestini_Spiked.fq	83356
204038	Dickeya_dadantii_reads_Spiked.fq	169732
562	Escherichia_coli_reads_Spiked.fq	131543
3467	Eschscholzia_reads_Spiked.fq	2228
1267021	Frischella_reads_Spiked.fq	76271
7137	Galleria_mellonella_reads_Spiked.fq	77434
1196095	Gilliamella_apicola_reads_Spiked.fq	71155
1908521	Gilliamella_bombi_reads_Spiked.fq	11861
1798183	Gilliamella_intestini_reads_Spiked.fq	285235
442	Gluconobacter_reads_Spiked.fq	6474
9606	Homo_sapiens_reads_Spiked.fq	74539
1218506	Lactobacillus_kimbladii_reads_Spiked.fq	371887
148814	Lactobacillus_kunkeii_reads_Spiked.fq	640527
1218492	Lactobacillus_mellifer_reads_Spiked.fq	61517
1218508	Lactobacillus_mellis_reads_Spiked.fq	307584
3871	Lupinus_angustifolius_reads_Spiked.fq	45979
3750	Malus_reads_Spiked.fq	12389
66812	Medicago_cretacea_reads_Spiked.fq	28584
3880	Medicago_truncatula_reads_Spiked.fq	6701
35231	Nosema_apis_reads_Spiked.fq	339821
40302	Nosema_ceranae_reads_Spiked.fq	322651
46240	Paenibacillus_apiarius_reads_Spiked.fq	9151
1792174	Paenibacillus_apis_reads_Spiked.fq	31
1792175	Paenibacillus_intestini_reads_Spiked.fq	323
22694	Papaver_orientale_reads_Spiked.fq	8571
3469	Papaver_somniferum_reads_Spiked.fq	80009
1510841	Parasaccharibacter_apium_reads-t_Spiked.fq	11376
4102	Petunia_reads_Spiked.fq	35389
3349	Pinus_sylvestris_reads_Spiked.fq	2719
3352	Pinus_taeda_reads_Spiked.fq	846
584	Proteus_mirabilis_reads_Spiked.fq	232347
3755	Prunus_dulcis_reads_Spiked.fq	26054
3760	Prunus_persica_reads_Spiked.fq	64735
225117	Pyrus_reads_Spiked.fq	10123
42906	Serratia_entomophila_reads_Spiked.fq	17332
615	Serratia_marcescens_reads_Spiked.fq	231756
138074	Serratia_symbiotica_reads_Spiked.fq	14194
382	Sinorhizobium_reads_Spiked.fq	18956
1196083	Snodgrassella_reads_Spiked.fq	143350
1239307	Sodalis_reads_Spiked.fq	145900
1282	Staphylococcus_epidermidis_reads_Spiked.fq	87205
3641	Theobroma_reads_Spiked.fq	183969
252130	Uruburuella_reads_Spiked.fq	299094
109461	Varroa_destructor_reads_Spiked.fq	9686
62625	Varroa_jacobsoni_reads_Spiked.fq	24124
1475057	Vespula_reads_Spiked.fq	9827
4577	Zea_reads_Spiked.fq	181653
