Taxonomic_ID,File_name,True_reads
2494788,Apis_mellifera_filamentous_virus_reads_Spiked.fq,93646
2563837,Apis_mellifera_reads_Spiked.fq,1564
69181,Brassica_cretica_Spiked.fq,9026
3055,Chlamydomonas_reads_Spiked.fq,12451
2711,Citrus_sinensis_reads_Spiked.fq,811
1267021,Frischella_reads_Spiked.fq,25288
1196095,Gilliamella_apicola_reads_Spiked.fq,23625
9606,Homo_sapiens_reads_Spiked.fq,25217
148814,Lactobacillus_kunkeii_reads_Spiked.fq,152263
3750,Malus_reads_Spiked.fq,4639
3880,Medicago_truncatula_reads_Spiked.fq,3666
40302,Nosema_ceranae_reads_Spiked.fq,107936
1087073,Oxalis_reads_Spiked.fq,5783
46240,Paenibacillus_apiarius_reads_Spiked.fq,2076
3469,Papaver_somniferum_reads_Spiked.fq,186452
4102,Petunia_reads_Spiked.fq,3949
3760,Prunus_persica_reads_Spiked.fq,21647
225117,Pyrus_reads_Spiked.fq,4400
1196083,Snodgrassella_reads_Spiked.fq,47596
1282,Staphylococcus_epidermidis_reads_Spiked.fq,19402
3641,Theobroma_reads_Spiked.fq,61461
109461,Varroa_destructor_reads_Spiked.fq,4167
4577,Zea_reads_Spiked.fq,120847
