"","GO_species","DirectSM_H4","DirectSM_H5","DirectSM_H6","DirectSM_H7","SM_H4","SM_H5","SM_H6","SM_H7","GO_number","GO_description","Species","Taxonomic_ID"
"1","GO:0000002_mitochondrial genome maintenance|138074",0.244156465950677,0,0,0,0.225537500530482,0.0839011668192991,0,0,"GO:0000002","mitochondrial genome maintenance","Serratia symbiotica","138074"
"2","GO:0000006_high-affinity zinc uptake transmembrane transporter activity|1914861",0.0610391164876693,0,0,0,0,0,0,0,"GO:0000006","high-affinity zinc uptake transmembrane transporter activity","Enterobacter sp. SA187","1914861"
"3","GO:0000014_single-stranded DNA endodeoxyribonuclease activity|1914861",0.0610391164876693,0,0,0,0,0,0,0,"GO:0000014","single-stranded DNA endodeoxyribonuclease activity","Enterobacter sp. SA187","1914861"
"4","GO:0000015_phosphopyruvate hydratase complex|138074",12.5130188799722,0,0,0,7.92200470613317,5.70527934371234,0,0,"GO:0000015","phosphopyruvate hydratase complex","Serratia symbiotica","138074"
"5","GO:0000027_ribosomal large subunit assembly|138074",29.7260497294949,0,152.46439844056,0,22.7510953660124,19.7167742025353,74.2898770713056,0,"GO:0000027","ribosomal large subunit assembly","Serratia symbiotica","138074"
"6","GO:0000027_ribosomal large subunit assembly|33968",0.0610391164876693,0,0,0,0,0,0,0,"GO:0000027","ribosomal large subunit assembly","Leuconostoc pseudomesenteroides","33968"
"7","GO:0000028_ribosomal small subunit assembly|138074",0.0610391164876693,0,0,0,0.0281921875663102,0,0,0,"GO:0000028","ribosomal small subunit assembly","Serratia symbiotica","138074"
"8","GO:0000030_mannosyltransferase activity|138074",24.5377248280431,0,0,0,16.1259312879294,6.20868634462813,0,0,"GO:0000030","mannosyltransferase activity","Serratia symbiotica","138074"
"9","GO:0000030_mannosyltransferase activity|47885",1.09870409677805,0,0,0,0.0281921875663102,0,0,0,"GO:0000030","mannosyltransferase activity","Pseudomonas oryzihabitans","47885"
"10","GO:0000032_cell wall mannoprotein biosynthetic process|138074",0.0610391164876693,0,0,0,0,0,0,0,"GO:0000032","cell wall mannoprotein biosynthetic process","Serratia symbiotica","138074"
"11","GO:0000034_adenine deaminase activity|138074",0.305195582438346,0,0,0,0.338306250795723,0.0839011668192991,0,0,"GO:0000034","adenine deaminase activity","Serratia symbiotica","138074"
"12","GO:0000049_tRNA binding|1239307",2.44156465950677,0,0,0,2.59368125610054,0,0,0,"GO:0000049","tRNA binding","Sodalis praecaptivus","1239307"
"13","GO:0000049_tRNA binding|1267021",2.07532996058076,1348.14235737829,407.842265828497,307.985718133839,1.69153125397861,155.888367950258,68.2663735249836,0,"GO:0000049","tRNA binding","Frischella perrara","1267021"
"14","GO:0000049_tRNA binding|138074",211.988851561675,164.407604558328,221.073377738812,180.142589851868,215.021814568248,205.473957540464,271.057659584494,27.7572999846152,"GO:0000049","tRNA binding","Serratia symbiotica","138074"
"15","GO:0000049_tRNA binding|1914861",0.0610391164876693,0,0,0,0.676612501591445,0,0,0,"GO:0000049","tRNA binding","Enterobacter sp. SA187","1914861"
"16","GO:0000049_tRNA binding|33968",10.4987280358791,0,0,0,11.7561422151514,0,8.03133806176277,0,"GO:0000049","tRNA binding","Leuconostoc pseudomesenteroides","33968"
"17","GO:0000049_tRNA binding|47885",2.80779935843279,0,0,0,0.676612501591445,0,0,0,"GO:0000049","tRNA binding","Pseudomonas oryzihabitans","47885"
"18","GO:0000049_tRNA binding|48296",1.28182144624106,0,0,0,0.676612501591445,0,0,0,"GO:0000049","tRNA binding","Acinetobacter pittii","48296"
"19","GO:0000049_tRNA binding|69218",1.77013437814241,0,0,0,3.10114063229412,0,0,0,"GO:0000049","tRNA binding","Enterobacter cancerogenus","69218"
"20","GO:0000050_urea cycle|138074",0.793508514339701,6.57630418233311,0,0,0.620228126458825,0.755110501373692,0,0,"GO:0000050","urea cycle","Serratia symbiotica","138074"
"21","GO:0000099_sulfur amino acid transmembrane transporter activity|138074",0.305195582438346,0,0,0,0.366498438362033,0.671209334554393,0,0,"GO:0000099","sulfur amino acid transmembrane transporter activity","Serratia symbiotica","138074"
"22","GO:0000101_sulfur amino acid transport|138074",0.305195582438346,0,0,0,0.366498438362033,0.671209334554393,0,0,"GO:0000101","sulfur amino acid transport","Serratia symbiotica","138074"
"23","GO:0000103_sulfate assimilation|1239307",0.0610391164876693,0,0,0,0.507459376193584,0,0,0,"GO:0000103","sulfate assimilation","Sodalis praecaptivus","1239307"
"24","GO:0000103_sulfate assimilation|138074",44.1312812205849,0,0,110.409974425338,30.2220250710846,31.5468387240565,0,0,"GO:0000103","sulfate assimilation","Serratia symbiotica","138074"
"25","GO:0000103_sulfate assimilation|69218",0.549352048389024,0,0,0,0.817573439422997,0,0,0,"GO:0000103","sulfate assimilation","Enterobacter cancerogenus","69218"
"26","GO:0000104_succinate dehydrogenase activity|138074",8.85067189071205,0,0,0,10.7412234627642,10.7393493528703,0,0,"GO:0000104","succinate dehydrogenase activity","Serratia symbiotica","138074"
"27","GO:0000105_histidine biosynthetic process|1239307",26.3078592061855,0,0,0,22.5537500530482,0,0,0,"GO:0000105","histidine biosynthetic process","Sodalis praecaptivus","1239307"
"28","GO:0000105_histidine biosynthetic process|138074",48.6481758406724,0,0,116.221025710882,49.5618657415734,45.4744324160601,72.2820425558649,0,"GO:0000105","histidine biosynthetic process","Serratia symbiotica","138074"
"29","GO:0000105_histidine biosynthetic process|33968",7.20261574554498,0,0,0,6.45601095268504,0,42.1645248242545,0,"GO:0000105","histidine biosynthetic process","Leuconostoc pseudomesenteroides","33968"
"30","GO:0000105_histidine biosynthetic process|47885",2.44156465950677,0,0,0,1.71972344154492,0,2.00783451544069,0,"GO:0000105","histidine biosynthetic process","Pseudomonas oryzihabitans","47885"
"31","GO:0000105_histidine biosynthetic process|548",1.34286056272872,0,0,0,0,0,0,0,"GO:0000105","histidine biosynthetic process","Klebsiella aerogenes","548"
"32","GO:0000105_histidine biosynthetic process|69218",3.90650345521084,0,0,0,1.63514687884599,0,0,0,"GO:0000105","histidine biosynthetic process","Enterobacter cancerogenus","69218"
"33","GO:0000107_imidazoleglycerol-phosphate synthase activity|1239307",11.6584712491448,0,0,0,11.5306047146209,0,0,0,"GO:0000107","imidazoleglycerol-phosphate synthase activity","Sodalis praecaptivus","1239307"
"34","GO:0000107_imidazoleglycerol-phosphate synthase activity|138074",0.366234698926016,0,0,0,1.49418594101444,1.84582567002458,0,0,"GO:0000107","imidazoleglycerol-phosphate synthase activity","Serratia symbiotica","138074"
"35","GO:0000107_imidazoleglycerol-phosphate synthase activity|33968",4.82209020252587,0,0,0,0,0,0,0,"GO:0000107","imidazoleglycerol-phosphate synthase activity","Leuconostoc pseudomesenteroides","33968"
"36","GO:0000107_imidazoleglycerol-phosphate synthase activity|69218",0.0610391164876693,0,0,0,0,0,0,0,"GO:0000107","imidazoleglycerol-phosphate synthase activity","Enterobacter cancerogenus","69218"
"37","GO:0000150_recombinase activity|138074",10.1935324534408,0,0,0,7.04804689157756,6.46038984508603,0,0,"GO:0000150","recombinase activity","Serratia symbiotica","138074"
"38","GO:0000155_phosphorelay sensor kinase activity|1239307",20.5091431398569,0,0,0,23.9069750562311,2.18143033730178,0,0,"GO:0000155","phosphorelay sensor kinase activity","Sodalis praecaptivus","1239307"
"39","GO:0000155_phosphorelay sensor kinase activity|138074",194.287507780251,13.1526083646662,83.8554191423079,238.253102707309,179.922541048192,192.72098018393,140.548416080849,0,"GO:0000155","phosphorelay sensor kinase activity","Serratia symbiotica","138074"
"40","GO:0000155_phosphorelay sensor kinase activity|1914861",7.08053751256964,0,0,0,8.68319377042355,0,0,0,"GO:0000155","phosphorelay sensor kinase activity","Enterobacter sp. SA187","1914861"
"41","GO:0000155_phosphorelay sensor kinase activity|33968",2.74676024194512,0,15.246439844056,0,2.62187344366685,0,6.02350354632208,0,"GO:0000155","phosphorelay sensor kinase activity","Leuconostoc pseudomesenteroides","33968"
"42","GO:0000155_phosphorelay sensor kinase activity|47885",31.4351449911497,0,0,0,15.8722015998327,0,120.470070926442,0,"GO:0000155","phosphorelay sensor kinase activity","Pseudomonas oryzihabitans","47885"
"43","GO:0000155_phosphorelay sensor kinase activity|48296",0.671430281364362,0,0,0,9.21884533418344,0,0,0,"GO:0000155","phosphorelay sensor kinase activity","Acinetobacter pittii","48296"
"44","GO:0000155_phosphorelay sensor kinase activity|69218",9.15586747315039,111.797171099663,0,0,5.72301407596098,0,0,0,"GO:0000155","phosphorelay sensor kinase activity","Enterobacter cancerogenus","69218"
"45","GO:0000155_phosphorelay sensor kinase activity|82987",0.915586747315039,0,0,0,2.73464219393209,0,0,0,"GO:0000155","phosphorelay sensor kinase activity","Tatumella ptyseos","82987"
"46","GO:0000156_phosphorelay response regulator activity|138074",12.3909406469969,0,0,0,11.5024125270546,6.46038984508603,0,0,"GO:0000156","phosphorelay response regulator activity","Serratia symbiotica","138074"
"47","GO:0000156_phosphorelay response regulator activity|1914861",0.0610391164876693,0,0,0,0.310114063229412,0,0,0,"GO:0000156","phosphorelay response regulator activity","Enterobacter sp. SA187","1914861"
"48","GO:0000156_phosphorelay response regulator activity|47885",3.84546433872317,0,0,0,1.21226406535134,0,0,0,"GO:0000156","phosphorelay response regulator activity","Pseudomonas oryzihabitans","47885"
"49","GO:0000156_phosphorelay response regulator activity|69218",0.0610391164876693,0,0,0,0,0,0,0,"GO:0000156","phosphorelay response regulator activity","Enterobacter cancerogenus","69218"
"50","GO:0000160_phosphorelay signal transduction system|1239307",30.3974800108593,0,0,0,30.081064133253,0,0,0,"GO:0000160","phosphorelay signal transduction system","Sodalis praecaptivus","1239307"
"51","GO:0000160_phosphorelay signal transduction system|138074",74.8949959303702,361.696730028321,7.62321992202799,0,107.299465877377,115.699709043813,210.822624121273,0,"GO:0000160","phosphorelay signal transduction system","Serratia symbiotica","138074"
"52","GO:0000160_phosphorelay signal transduction system|1914861",2.19740819355609,0,0,0,5.13097813706846,0,0,0,"GO:0000160","phosphorelay signal transduction system","Enterobacter sp. SA187","1914861"
"53","GO:0000160_phosphorelay signal transduction system|33968",1.5870170286794,0,148.652788479546,0,7.1608156418428,0,0,0,"GO:0000160","phosphorelay signal transduction system","Leuconostoc pseudomesenteroides","33968"
"54","GO:0000160_phosphorelay signal transduction system|47885",16.6636788011337,0,0,0,10.2337640865706,0.0839011668192991,2.00783451544069,0,"GO:0000160","phosphorelay signal transduction system","Pseudomonas oryzihabitans","47885"
"55","GO:0000160_phosphorelay signal transduction system|48296",3.66234698926016,0,0,0,1.6633390664123,0,0,0,"GO:0000160","phosphorelay signal transduction system","Acinetobacter pittii","48296"
"56","GO:0000160_phosphorelay signal transduction system|69218",4.21169903764918,0,0,0,2.67825781879947,0,0,0,"GO:0000160","phosphorelay signal transduction system","Enterobacter cancerogenus","69218"
"57","GO:0000160_phosphorelay signal transduction system|82987",1.40389967921639,0,0,0,0.479267188627274,0,0,0,"GO:0000160","phosphorelay signal transduction system","Tatumella ptyseos","82987"
"58","GO:0000162_tryptophan biosynthetic process|1239307",2.62468200896978,0,0,0,1.57876250371337,0,0,0,"GO:0000162","tryptophan biosynthetic process","Sodalis praecaptivus","1239307"
"59","GO:0000162_tryptophan biosynthetic process|138074",26.2468200896978,151.254996193661,0,122.032076996427,26.89534693826,29.2815072199354,0,0,"GO:0000162","tryptophan biosynthetic process","Serratia symbiotica","138074"
"60","GO:0000162_tryptophan biosynthetic process|47885",1.22078232975339,0,0,0,0.0281921875663102,0,0,0,"GO:0000162","tryptophan biosynthetic process","Pseudomonas oryzihabitans","47885"
"61","GO:0000162_tryptophan biosynthetic process|69218",0.0610391164876693,0,0,0,0,0,0,0,"GO:0000162","tryptophan biosynthetic process","Enterobacter cancerogenus","69218"
"62","GO:0000166_nucleotide binding|1239307",26.0637027402348,0,0,0,17.5073484786787,0,0,0,"GO:0000166","nucleotide binding","Sodalis praecaptivus","1239307"
"63","GO:0000166_nucleotide binding|1267021",1.40389967921639,1196.88736118463,3.81160996101399,0,0.422882813494653,152.112815443389,98.383891256594,0,"GO:0000166","nucleotide binding","Frischella perrara","1267021"
"64","GO:0000166_nucleotide binding|138074",151.438048005908,131.526083646662,339.233286530245,0,202.955558289867,175.101735151877,204.799120574951,0,"GO:0000166","nucleotide binding","Serratia symbiotica","138074"
"65","GO:0000166_nucleotide binding|1914861",2.3805255430191,0,0,0,2.14260625503958,0,0,0,"GO:0000166","nucleotide binding","Enterobacter sp. SA187","1914861"
"66","GO:0000166_nucleotide binding|33968",17.8234220143994,0,0,0,8.34488751962783,0,30.1175177316104,0,"GO:0000166","nucleotide binding","Leuconostoc pseudomesenteroides","33968"
"67","GO:0000166_nucleotide binding|470",1.22078232975339,0,0,0,0,0,0,0,"GO:0000166","nucleotide binding","Acinetobacter baumannii","470"
"68","GO:0000166_nucleotide binding|47885",3.54026875628482,0,0,0,0.789381251856686,0,0,0,"GO:0000166","nucleotide binding","Pseudomonas oryzihabitans","47885"
"69","GO:0000166_nucleotide binding|48296",1.95325172760542,0,0,0,2.36814375557006,0,0,0,"GO:0000166","nucleotide binding","Acinetobacter pittii","48296"
"70","GO:0000166_nucleotide binding|69218",3.54026875628482,0,0,0,1.55057031614706,0,2.00783451544069,0,"GO:0000166","nucleotide binding","Enterobacter cancerogenus","69218"
